file,class,method,variable,usage
/home/jota/classroom/lab-02-qualidade-java/repos/EventBus/EventBusTest/src/org/greenrobot/eventbus/EventBusAndroidMultithreadedTest.java,org.greenrobot.eventbus.EventBusAndroidMultithreadedTest$SubscribeUnsubscribeThread,run/0,running,1
/home/jota/classroom/lab-02-qualidade-java/repos/EventBus/EventBusTest/src/org/greenrobot/eventbus/EventBusAndroidMultithreadedTest.java,org.greenrobot.eventbus.EventBusAndroidMultithreadedTest$SubscribeUnsubscribeThread,shutdown/0,running,1
/home/jota/classroom/lab-02-qualidade-java/repos/EventBus/EventBus/src/org/greenrobot/eventbus/util/ExceptionToResourceMapping.java,org.greenrobot.eventbus.util.ExceptionToResourceMapping,ExceptionToResourceMapping/0,throwableToMsgIdMap,1
/home/jota/classroom/lab-02-qualidade-java/repos/EventBus/EventBus/src/org/greenrobot/eventbus/util/ExceptionToResourceMapping.java,org.greenrobot.eventbus.util.ExceptionToResourceMapping,mapThrowableFlat/1[java.lang.Throwable],throwableToMsgIdMap,2
/home/jota/classroom/lab-02-qualidade-java/repos/EventBus/EventBus/src/org/greenrobot/eventbus/util/ExceptionToResourceMapping.java,org.greenrobot.eventbus.util.ExceptionToResourceMapping,"addMapping/2[java.lang.Class<? extends java.lang.Throwable>,int]",throwableToMsgIdMap,1
/home/jota/classroom/lab-02-qualidade-java/repos/EventBus/EventBusAnnotationProcessor/src/org/greenrobot/eventbus/annotationprocessor/EventBusAnnotationProcessor.java,org.greenrobot.eventbus.annotationprocessor.EventBusAnnotationProcessor,"process/2[java.util.Set<? extends javax.lang.model.element.TypeElement>,javax.annotation.processing.RoundEnvironment]",round,2
/home/jota/classroom/lab-02-qualidade-java/repos/EventBus/EventBusAnnotationProcessor/src/org/greenrobot/eventbus/annotationprocessor/EventBusAnnotationProcessor.java,org.greenrobot.eventbus.annotationprocessor.EventBusAnnotationProcessor,"process/2[java.util.Set<? extends javax.lang.model.element.TypeElement>,javax.annotation.processing.RoundEnvironment]",methodsByClass,1
/home/jota/classroom/lab-02-qualidade-java/repos/EventBus/EventBusAnnotationProcessor/src/org/greenrobot/eventbus/annotationprocessor/EventBusAnnotationProcessor.java,org.greenrobot.eventbus.annotationprocessor.EventBusAnnotationProcessor,"process/2[java.util.Set<? extends javax.lang.model.element.TypeElement>,javax.annotation.processing.RoundEnvironment]",writerRoundDone,2
/home/jota/classroom/lab-02-qualidade-java/repos/EventBus/EventBusAnnotationProcessor/src/org/greenrobot/eventbus/annotationprocessor/EventBusAnnotationProcessor.java,org.greenrobot.eventbus.annotationprocessor.EventBusAnnotationProcessor,"process/2[java.util.Set<? extends javax.lang.model.element.TypeElement>,javax.annotation.processing.RoundEnvironment]",OPTION_VERBOSE,1
/home/jota/classroom/lab-02-qualidade-java/repos/EventBus/EventBusAnnotationProcessor/src/org/greenrobot/eventbus/annotationprocessor/EventBusAnnotationProcessor.java,org.greenrobot.eventbus.annotationprocessor.EventBusAnnotationProcessor,"process/2[java.util.Set<? extends javax.lang.model.element.TypeElement>,javax.annotation.processing.RoundEnvironment]",OPTION_EVENT_BUS_INDEX,2
