file,class,method,variable,usage
/home/jota/classroom/lab-02-qualidade-java/repos/EventBus/EventBusTest/src/org/greenrobot/eventbus/EventBusAndroidMultithreadedTest.java,org.greenrobot.eventbus.EventBusAndroidMultithreadedTest$SubscribeUnsubscribeThread,onEventMainThread/1[java.lang.String],event,0
/home/jota/classroom/lab-02-qualidade-java/repos/EventBus/EventBusTest/src/org/greenrobot/eventbus/EventBusAndroidMultithreadedTest.java,org.greenrobot.eventbus.EventBusAndroidMultithreadedTest$SubscribeUnsubscribeThread,onEventBackgroundThread/1[java.lang.Integer],event,0
/home/jota/classroom/lab-02-qualidade-java/repos/EventBus/EventBusTest/src/org/greenrobot/eventbus/EventBusAndroidMultithreadedTest.java,org.greenrobot.eventbus.EventBusAndroidMultithreadedTest$SubscribeUnsubscribeThread,run/0,random,4
/home/jota/classroom/lab-02-qualidade-java/repos/EventBus/EventBusTest/src/org/greenrobot/eventbus/EventBusAndroidMultithreadedTest.java,org.greenrobot.eventbus.EventBusAndroidMultithreadedTest$SubscribeUnsubscribeThread,run/0,e,1
/home/jota/classroom/lab-02-qualidade-java/repos/EventBus/EventBusTest/src/org/greenrobot/eventbus/EventBusAndroidMultithreadedTest.java,org.greenrobot.eventbus.EventBusAndroidMultithreadedTest$SubscribeUnsubscribeThread,onEvent/1[java.lang.Object],event,0
/home/jota/classroom/lab-02-qualidade-java/repos/EventBus/EventBusTest/src/org/greenrobot/eventbus/EventBusAndroidMultithreadedTest.java,org.greenrobot.eventbus.EventBusAndroidMultithreadedTest$SubscribeUnsubscribeThread,onEventAsync/1[java.lang.Object],event,0
/home/jota/classroom/lab-02-qualidade-java/repos/EventBus/EventBus/src/org/greenrobot/eventbus/util/ExceptionToResourceMapping.java,org.greenrobot.eventbus.util.ExceptionToResourceMapping,mapThrowable/1[java.lang.Throwable],throwable,3
/home/jota/classroom/lab-02-qualidade-java/repos/EventBus/EventBus/src/org/greenrobot/eventbus/util/ExceptionToResourceMapping.java,org.greenrobot.eventbus.util.ExceptionToResourceMapping,mapThrowable/1[java.lang.Throwable],logger,1
/home/jota/classroom/lab-02-qualidade-java/repos/EventBus/EventBus/src/org/greenrobot/eventbus/util/ExceptionToResourceMapping.java,org.greenrobot.eventbus.util.ExceptionToResourceMapping,mapThrowable/1[java.lang.Throwable],throwableToCheck,5
/home/jota/classroom/lab-02-qualidade-java/repos/EventBus/EventBus/src/org/greenrobot/eventbus/util/ExceptionToResourceMapping.java,org.greenrobot.eventbus.util.ExceptionToResourceMapping,mapThrowable/1[java.lang.Throwable],depthToGo,2
/home/jota/classroom/lab-02-qualidade-java/repos/EventBus/EventBus/src/org/greenrobot/eventbus/util/ExceptionToResourceMapping.java,org.greenrobot.eventbus.util.ExceptionToResourceMapping,mapThrowable/1[java.lang.Throwable],resId,2
/home/jota/classroom/lab-02-qualidade-java/repos/EventBus/EventBus/src/org/greenrobot/eventbus/util/ExceptionToResourceMapping.java,org.greenrobot.eventbus.util.ExceptionToResourceMapping,mapThrowableFlat/1[java.lang.Throwable],mappings,1
/home/jota/classroom/lab-02-qualidade-java/repos/EventBus/EventBus/src/org/greenrobot/eventbus/util/ExceptionToResourceMapping.java,org.greenrobot.eventbus.util.ExceptionToResourceMapping,mapThrowableFlat/1[java.lang.Throwable],mapping,2
/home/jota/classroom/lab-02-qualidade-java/repos/EventBus/EventBus/src/org/greenrobot/eventbus/util/ExceptionToResourceMapping.java,org.greenrobot.eventbus.util.ExceptionToResourceMapping,mapThrowableFlat/1[java.lang.Throwable],candidate,3
