file,class,method,variable,usage
/home/jota/classroom/lab-02-qualidade-java/repos/Hystrix/hystrix-contrib/hystrix-metrics-event-stream/src/main/java/com/netflix/hystrix/contrib/sample/stream/HystrixUtilizationJsonStream.java,com.netflix.hystrix.contrib.sample.stream.HystrixUtilizationJsonStream,"HystrixUtilizationJsonStream/1[com.netflix.hystrix.contrib.sample.stream.Func1<java.lang.Integer,com.netflix.hystrix.contrib.sample.stream.Observable<com.netflix.hystrix.metric.sample.HystrixUtilization>>]",streamGenerator,3
/home/jota/classroom/lab-02-qualidade-java/repos/Hystrix/hystrix-contrib/hystrix-metrics-event-stream/src/main/java/com/netflix/hystrix/contrib/sample/stream/HystrixUtilizationJsonStream.java,com.netflix.hystrix.contrib.sample.stream.HystrixUtilizationJsonStream,observe/1[int],streamGenerator,1
/home/jota/classroom/lab-02-qualidade-java/repos/Hystrix/hystrix-contrib/hystrix-metrics-event-stream/src/main/java/com/netflix/hystrix/contrib/sample/stream/HystrixUtilizationJsonStream.java,com.netflix.hystrix.contrib.sample.stream.HystrixUtilizationJsonStream,HystrixUtilizationJsonStream/0,streamGenerator,1
/home/jota/classroom/lab-02-qualidade-java/repos/Hystrix/hystrix-contrib/hystrix-metrics-event-stream/src/main/java/com/netflix/hystrix/contrib/sample/stream/HystrixUtilizationJsonStream.java,com.netflix.hystrix.contrib.sample.stream.HystrixUtilizationJsonStream,observeJson/1[int],convertToJsonFunc,1
/home/jota/classroom/lab-02-qualidade-java/repos/Hystrix/hystrix-contrib/hystrix-metrics-event-stream/src/main/java/com/netflix/hystrix/contrib/sample/stream/HystrixUtilizationJsonStream.java,com.netflix.hystrix.contrib.sample.stream.HystrixUtilizationJsonStream,observeJson/1[int],streamGenerator,1
/home/jota/classroom/lab-02-qualidade-java/repos/Hystrix/hystrix-contrib/hystrix-metrics-event-stream/src/main/java/com/netflix/hystrix/contrib/sample/stream/HystrixUtilizationJsonStream.java,com.netflix.hystrix.contrib.sample.stream.HystrixUtilizationJsonStream,convertToJson/1[com.netflix.hystrix.metric.sample.HystrixUtilization],jsonFactory,1
/home/jota/classroom/lab-02-qualidade-java/repos/Hystrix/hystrix-core/src/main/java/com/netflix/hystrix/strategy/HystrixPlugins.java,com.netflix.hystrix.strategy.HystrixPlugins,registerEventNotifier/1[com.netflix.hystrix.strategy.eventnotifier.HystrixEventNotifier],notifier,1
/home/jota/classroom/lab-02-qualidade-java/repos/Hystrix/hystrix-core/src/main/java/com/netflix/hystrix/strategy/HystrixPlugins.java,com.netflix.hystrix.strategy.HystrixPlugins,getConcurrencyStrategy/0,concurrencyStrategy,4
/home/jota/classroom/lab-02-qualidade-java/repos/Hystrix/hystrix-core/src/main/java/com/netflix/hystrix/strategy/HystrixPlugins.java,com.netflix.hystrix.strategy.HystrixPlugins,registerPropertiesStrategy/1[com.netflix.hystrix.strategy.properties.HystrixPropertiesStrategy],propertiesFactory,1
/home/jota/classroom/lab-02-qualidade-java/repos/Hystrix/hystrix-core/src/main/java/com/netflix/hystrix/strategy/HystrixPlugins.java,com.netflix.hystrix.strategy.HystrixPlugins,reset/0,metricsPublisher,1
/home/jota/classroom/lab-02-qualidade-java/repos/Hystrix/hystrix-core/src/main/java/com/netflix/hystrix/strategy/HystrixPlugins.java,com.netflix.hystrix.strategy.HystrixPlugins,reset/0,concurrencyStrategy,1
/home/jota/classroom/lab-02-qualidade-java/repos/Hystrix/hystrix-core/src/main/java/com/netflix/hystrix/strategy/HystrixPlugins.java,com.netflix.hystrix.strategy.HystrixPlugins,reset/0,commandExecutionHook,1
/home/jota/classroom/lab-02-qualidade-java/repos/Hystrix/hystrix-core/src/main/java/com/netflix/hystrix/strategy/HystrixPlugins.java,com.netflix.hystrix.strategy.HystrixPlugins,reset/0,notifier,1
/home/jota/classroom/lab-02-qualidade-java/repos/Hystrix/hystrix-core/src/main/java/com/netflix/hystrix/strategy/HystrixPlugins.java,com.netflix.hystrix.strategy.HystrixPlugins,reset/0,propertiesFactory,1
/home/jota/classroom/lab-02-qualidade-java/repos/Hystrix/hystrix-core/src/main/java/com/netflix/hystrix/strategy/HystrixPlugins.java,com.netflix.hystrix.strategy.HystrixPlugins,"resolveDynamicProperties/2[java.lang.ClassLoader,com.netflix.hystrix.strategy.HystrixPlugins.LoggerSupplier]",classLoader,2
/home/jota/classroom/lab-02-qualidade-java/repos/Hystrix/hystrix-core/src/main/java/com/netflix/hystrix/strategy/HystrixPlugins.java,com.netflix.hystrix.strategy.HystrixPlugins,getMetricsPublisher/0,metricsPublisher,4
/home/jota/classroom/lab-02-qualidade-java/repos/Hystrix/hystrix-core/src/main/java/com/netflix/hystrix/strategy/HystrixPlugins.java,com.netflix.hystrix.strategy.HystrixPlugins,"create/2[java.lang.ClassLoader,com.netflix.hystrix.strategy.HystrixPlugins.LoggerSupplier]",classLoader,2
/home/jota/classroom/lab-02-qualidade-java/repos/Hystrix/hystrix-core/src/main/java/com/netflix/hystrix/strategy/HystrixPlugins.java,com.netflix.hystrix.strategy.HystrixPlugins,getDynamicProperties/0,dynamicProperties,1
