file,class,method,variable,usage
/home/jota/classroom/lab-02-qualidade-java/repos/Hystrix/hystrix-core/src/main/java/com/netflix/hystrix/util/LongMaxUpdater.java,com.netflix.hystrix.util.LongMaxUpdater,writeObject/1[java.io.ObjectOutputStream],s,2
/home/jota/classroom/lab-02-qualidade-java/repos/Hystrix/hystrix-core/src/main/java/com/netflix/hystrix/util/LongMaxUpdater.java,com.netflix.hystrix.util.LongMaxUpdater,"fn/2[long,long]",v,2
/home/jota/classroom/lab-02-qualidade-java/repos/Hystrix/hystrix-core/src/main/java/com/netflix/hystrix/util/LongMaxUpdater.java,com.netflix.hystrix.util.LongMaxUpdater,"fn/2[long,long]",x,2
/home/jota/classroom/lab-02-qualidade-java/repos/Hystrix/hystrix-core/src/main/java/com/netflix/hystrix/util/LongMaxUpdater.java,com.netflix.hystrix.util.LongMaxUpdater,update/1[long],a,3
/home/jota/classroom/lab-02-qualidade-java/repos/Hystrix/hystrix-core/src/main/java/com/netflix/hystrix/util/LongMaxUpdater.java,com.netflix.hystrix.util.LongMaxUpdater,update/1[long],as,4
/home/jota/classroom/lab-02-qualidade-java/repos/Hystrix/hystrix-core/src/main/java/com/netflix/hystrix/util/LongMaxUpdater.java,com.netflix.hystrix.util.LongMaxUpdater,update/1[long],b,2
/home/jota/classroom/lab-02-qualidade-java/repos/Hystrix/hystrix-core/src/main/java/com/netflix/hystrix/util/LongMaxUpdater.java,com.netflix.hystrix.util.LongMaxUpdater,update/1[long],v,2
/home/jota/classroom/lab-02-qualidade-java/repos/Hystrix/hystrix-core/src/main/java/com/netflix/hystrix/util/LongMaxUpdater.java,com.netflix.hystrix.util.LongMaxUpdater,update/1[long],x,5
/home/jota/classroom/lab-02-qualidade-java/repos/Hystrix/hystrix-core/src/main/java/com/netflix/hystrix/util/LongMaxUpdater.java,com.netflix.hystrix.util.LongMaxUpdater,update/1[long],h,1
/home/jota/classroom/lab-02-qualidade-java/repos/Hystrix/hystrix-core/src/main/java/com/netflix/hystrix/util/LongMaxUpdater.java,com.netflix.hystrix.util.LongMaxUpdater,update/1[long],hc,2
/home/jota/classroom/lab-02-qualidade-java/repos/Hystrix/hystrix-core/src/main/java/com/netflix/hystrix/util/LongMaxUpdater.java,com.netflix.hystrix.util.LongMaxUpdater,update/1[long],n,2
/home/jota/classroom/lab-02-qualidade-java/repos/Hystrix/hystrix-core/src/main/java/com/netflix/hystrix/util/LongMaxUpdater.java,com.netflix.hystrix.util.LongMaxUpdater,update/1[long],uncontended,2
/home/jota/classroom/lab-02-qualidade-java/repos/Hystrix/hystrix-core/src/main/java/com/netflix/hystrix/util/LongMaxUpdater.java,com.netflix.hystrix.util.LongMaxUpdater,readObject/1[java.io.ObjectInputStream],s,2
/home/jota/classroom/lab-02-qualidade-java/repos/Hystrix/hystrix-core/src/main/java/com/netflix/hystrix/util/LongMaxUpdater.java,com.netflix.hystrix.util.LongMaxUpdater,max/0,a,2
/home/jota/classroom/lab-02-qualidade-java/repos/Hystrix/hystrix-core/src/main/java/com/netflix/hystrix/util/LongMaxUpdater.java,com.netflix.hystrix.util.LongMaxUpdater,max/0,as,3
/home/jota/classroom/lab-02-qualidade-java/repos/Hystrix/hystrix-core/src/main/java/com/netflix/hystrix/util/LongMaxUpdater.java,com.netflix.hystrix.util.LongMaxUpdater,max/0,max,3
/home/jota/classroom/lab-02-qualidade-java/repos/Hystrix/hystrix-core/src/main/java/com/netflix/hystrix/util/LongMaxUpdater.java,com.netflix.hystrix.util.LongMaxUpdater,max/0,v,2
/home/jota/classroom/lab-02-qualidade-java/repos/Hystrix/hystrix-core/src/main/java/com/netflix/hystrix/util/LongMaxUpdater.java,com.netflix.hystrix.util.LongMaxUpdater,max/0,i,3
/home/jota/classroom/lab-02-qualidade-java/repos/Hystrix/hystrix-core/src/main/java/com/netflix/hystrix/util/LongMaxUpdater.java,com.netflix.hystrix.util.LongMaxUpdater,max/0,n,1
/home/jota/classroom/lab-02-qualidade-java/repos/Hystrix/hystrix-core/src/main/java/com/netflix/hystrix/util/LongMaxUpdater.java,com.netflix.hystrix.util.LongMaxUpdater,maxThenReset/0,a,3
/home/jota/classroom/lab-02-qualidade-java/repos/Hystrix/hystrix-core/src/main/java/com/netflix/hystrix/util/LongMaxUpdater.java,com.netflix.hystrix.util.LongMaxUpdater,maxThenReset/0,as,3
/home/jota/classroom/lab-02-qualidade-java/repos/Hystrix/hystrix-core/src/main/java/com/netflix/hystrix/util/LongMaxUpdater.java,com.netflix.hystrix.util.LongMaxUpdater,maxThenReset/0,max,3
/home/jota/classroom/lab-02-qualidade-java/repos/Hystrix/hystrix-core/src/main/java/com/netflix/hystrix/util/LongMaxUpdater.java,com.netflix.hystrix.util.LongMaxUpdater,maxThenReset/0,v,2
/home/jota/classroom/lab-02-qualidade-java/repos/Hystrix/hystrix-core/src/main/java/com/netflix/hystrix/util/LongMaxUpdater.java,com.netflix.hystrix.util.LongMaxUpdater,maxThenReset/0,i,3
/home/jota/classroom/lab-02-qualidade-java/repos/Hystrix/hystrix-core/src/main/java/com/netflix/hystrix/util/LongMaxUpdater.java,com.netflix.hystrix.util.LongMaxUpdater,maxThenReset/0,n,1
/home/jota/classroom/lab-02-qualidade-java/repos/Hystrix/hystrix-core/src/test/java/com/netflix/hystrix/HystrixCommandTest.java,com.netflix.hystrix.HystrixCommandTest$Anonymous28,onError/1[java.lang.Throwable],e,1
/home/jota/classroom/lab-02-qualidade-java/repos/Hystrix/hystrix-core/src/test/java/com/netflix/hystrix/HystrixCommandTest.java,com.netflix.hystrix.HystrixCommandTest$Anonymous28,onNext/1[java.lang.Boolean],b,1
/home/jota/classroom/lab-02-qualidade-java/repos/Hystrix/hystrix-core/src/main/java/com/netflix/hystrix/AbstractCommand.java,com.netflix.hystrix.AbstractCommand$Anonymous19,call/1[com.netflix.hystrix.Notification<? super R>],rNotification,0
/home/jota/classroom/lab-02-qualidade-java/repos/Hystrix/hystrix-core/src/test/java/com/netflix/hystrix/HystrixCommandTest.java,com.netflix.hystrix.HystrixCommandTest$Anonymous23,call/1[java.lang.Throwable],t1,1
/home/jota/classroom/lab-02-qualidade-java/repos/Hystrix/hystrix-core/src/test/java/com/netflix/hystrix/HystrixCommandTest.java,com.netflix.hystrix.HystrixCommandTest$Anonymous24,run/0,ex,1
/home/jota/classroom/lab-02-qualidade-java/repos/Hystrix/hystrix-core/src/test/java/com/netflix/hystrix/HystrixCommandTest.java,com.netflix.hystrix.HystrixCommandTest$Anonymous24,run/0,acquired,1
/home/jota/classroom/lab-02-qualidade-java/repos/Hystrix/hystrix-core/src/test/java/com/netflix/hystrix/HystrixTest.java,com.netflix.hystrix.HystrixTest$SynchronousObservableCommand$Anonymous14,call/1[Subscriber<? super Integer>],subscriber,4
/home/jota/classroom/lab-02-qualidade-java/repos/Hystrix/hystrix-core/src/test/java/com/netflix/hystrix/HystrixTest.java,com.netflix.hystrix.HystrixTest$SynchronousObservableCommand$Anonymous14,call/1[Subscriber<? super Integer>],ex,1
/home/jota/classroom/lab-02-qualidade-java/repos/Hystrix/hystrix-core/src/main/java/com/netflix/hystrix/AbstractCommand.java,com.netflix.hystrix.AbstractCommand$Anonymous18,call/0,ex,1
/home/jota/classroom/lab-02-qualidade-java/repos/Hystrix/hystrix-core/src/test/java/com/netflix/hystrix/HystrixCommandTest.java,com.netflix.hystrix.HystrixCommandTest$Anonymous26,onError/1[java.lang.Throwable],e,1
/home/jota/classroom/lab-02-qualidade-java/repos/Hystrix/hystrix-core/src/test/java/com/netflix/hystrix/HystrixCommandTest.java,com.netflix.hystrix.HystrixCommandTest$Anonymous26,onNext/1[java.lang.Boolean],b,1
/home/jota/classroom/lab-02-qualidade-java/repos/Hystrix/hystrix-contrib/hystrix-metrics-event-stream/src/main/java/com/netflix/hystrix/contrib/sample/stream/HystrixUtilizationJsonStream.java,com.netflix.hystrix.contrib.sample.stream.HystrixUtilizationJsonStream,"writeCommandUtilizationJson/3[com.netflix.hystrix.contrib.sample.stream.JsonGenerator,com.netflix.hystrix.HystrixCommandKey,com.netflix.hystrix.metric.sample.HystrixCommandUtilization]",json,3
/home/jota/classroom/lab-02-qualidade-java/repos/Hystrix/hystrix-contrib/hystrix-metrics-event-stream/src/main/java/com/netflix/hystrix/contrib/sample/stream/HystrixUtilizationJsonStream.java,com.netflix.hystrix.contrib.sample.stream.HystrixUtilizationJsonStream,"writeCommandUtilizationJson/3[com.netflix.hystrix.contrib.sample.stream.JsonGenerator,com.netflix.hystrix.HystrixCommandKey,com.netflix.hystrix.metric.sample.HystrixCommandUtilization]",utilization,1
/home/jota/classroom/lab-02-qualidade-java/repos/Hystrix/hystrix-contrib/hystrix-metrics-event-stream/src/main/java/com/netflix/hystrix/contrib/sample/stream/HystrixUtilizationJsonStream.java,com.netflix.hystrix.contrib.sample.stream.HystrixUtilizationJsonStream,"writeCommandUtilizationJson/3[com.netflix.hystrix.contrib.sample.stream.JsonGenerator,com.netflix.hystrix.HystrixCommandKey,com.netflix.hystrix.metric.sample.HystrixCommandUtilization]",key,1
/home/jota/classroom/lab-02-qualidade-java/repos/Hystrix/hystrix-contrib/hystrix-metrics-event-stream/src/main/java/com/netflix/hystrix/contrib/sample/stream/HystrixUtilizationJsonStream.java,com.netflix.hystrix.contrib.sample.stream.HystrixUtilizationJsonStream,"HystrixUtilizationJsonStream/1[com.netflix.hystrix.contrib.sample.stream.Func1<java.lang.Integer,com.netflix.hystrix.contrib.sample.stream.Observable<com.netflix.hystrix.metric.sample.HystrixUtilization>>]",streamGenerator,2
