file,class,method,variable,usage
/home/jota/classroom/lab-02-qualidade-java/repos/MPAndroidChart/MPChartExample/src/main/java/com/xxmassdeveloper/mpchartexample/fragments/PieChartFrag.java,com.xxmassdeveloper.mpchartexample.fragments.PieChartFrag,"onCreateView/3[com.xxmassdeveloper.mpchartexample.fragments.LayoutInflater,com.xxmassdeveloper.mpchartexample.fragments.ViewGroup,com.xxmassdeveloper.mpchartexample.fragments.Bundle]",chart,10
/home/jota/classroom/lab-02-qualidade-java/repos/MPAndroidChart/MPChartLib/src/main/java/com/github/mikephil/charting/data/BarDataSet.java,com.github.mikephil.charting.data.BarDataSet,getFills/0,mFills,1
/home/jota/classroom/lab-02-qualidade-java/repos/MPAndroidChart/MPChartLib/src/main/java/com/github/mikephil/charting/data/BarDataSet.java,com.github.mikephil.charting.data.BarDataSet,getStackLabels/0,mStackLabels,1
/home/jota/classroom/lab-02-qualidade-java/repos/MPAndroidChart/MPChartLib/src/main/java/com/github/mikephil/charting/data/BarDataSet.java,com.github.mikephil.charting.data.BarDataSet,calcEntryCountIncludingStacks/1[java.util.List<com.github.mikephil.charting.data.BarEntry>],mEntryCountStacks,3
/home/jota/classroom/lab-02-qualidade-java/repos/MPAndroidChart/MPChartLib/src/main/java/com/github/mikephil/charting/data/BarDataSet.java,com.github.mikephil.charting.data.BarDataSet,setGradientColors/1[java.util.List<com.github.mikephil.charting.utils.Fill>],mFills,1
/home/jota/classroom/lab-02-qualidade-java/repos/MPAndroidChart/MPChartLib/src/main/java/com/github/mikephil/charting/data/BarDataSet.java,com.github.mikephil.charting.data.BarDataSet,isStacked/0,mStackSize,1
/home/jota/classroom/lab-02-qualidade-java/repos/MPAndroidChart/MPChartLib/src/main/java/com/github/mikephil/charting/data/BarDataSet.java,com.github.mikephil.charting.data.BarDataSet,setBarBorderColor/1[int],mBarBorderColor,1
/home/jota/classroom/lab-02-qualidade-java/repos/MPAndroidChart/MPChartLib/src/main/java/com/github/mikephil/charting/data/BarDataSet.java,com.github.mikephil.charting.data.BarDataSet,setBarBorderWidth/1[float],mBarBorderWidth,1
/home/jota/classroom/lab-02-qualidade-java/repos/MPAndroidChart/MPChartLib/src/main/java/com/github/mikephil/charting/data/BarDataSet.java,com.github.mikephil.charting.data.BarDataSet,getBarShadowColor/0,mBarShadowColor,1
/home/jota/classroom/lab-02-qualidade-java/repos/MPAndroidChart/MPChartLib/src/main/java/com/github/mikephil/charting/data/BarDataSet.java,com.github.mikephil.charting.data.BarDataSet,getEntryCountStacks/0,mEntryCountStacks,1
/home/jota/classroom/lab-02-qualidade-java/repos/MPAndroidChart/MPChartLib/src/main/java/com/github/mikephil/charting/data/BarDataSet.java,com.github.mikephil.charting.data.BarDataSet,"setGradientColor/2[int,int]",mFills,2
/home/jota/classroom/lab-02-qualidade-java/repos/MPAndroidChart/MPChartLib/src/main/java/com/github/mikephil/charting/data/BarDataSet.java,com.github.mikephil.charting.data.BarDataSet,setFills/1[java.util.List<com.github.mikephil.charting.utils.Fill>],mFills,1
/home/jota/classroom/lab-02-qualidade-java/repos/MPAndroidChart/MPChartLib/src/main/java/com/github/mikephil/charting/data/BarDataSet.java,com.github.mikephil.charting.data.BarDataSet,setBarShadowColor/1[int],mBarShadowColor,1
/home/jota/classroom/lab-02-qualidade-java/repos/MPAndroidChart/MPChartLib/src/main/java/com/github/mikephil/charting/data/BarDataSet.java,com.github.mikephil.charting.data.BarDataSet,setHighLightAlpha/1[int],mHighLightAlpha,1
/home/jota/classroom/lab-02-qualidade-java/repos/MPAndroidChart/MPChartLib/src/main/java/com/github/mikephil/charting/data/BarDataSet.java,com.github.mikephil.charting.data.BarDataSet,calcStackSize/1[java.util.List<com.github.mikephil.charting.data.BarEntry>],mStackSize,2
/home/jota/classroom/lab-02-qualidade-java/repos/MPAndroidChart/MPChartLib/src/main/java/com/github/mikephil/charting/data/BarDataSet.java,com.github.mikephil.charting.data.BarDataSet,getBarBorderColor/0,mBarBorderColor,1
/home/jota/classroom/lab-02-qualidade-java/repos/MPAndroidChart/MPChartLib/src/main/java/com/github/mikephil/charting/data/BarDataSet.java,com.github.mikephil.charting.data.BarDataSet,getHighLightAlpha/0,mHighLightAlpha,1
/home/jota/classroom/lab-02-qualidade-java/repos/MPAndroidChart/MPChartLib/src/main/java/com/github/mikephil/charting/data/BarDataSet.java,com.github.mikephil.charting.data.BarDataSet,getFill/1[int],mFills,2
/home/jota/classroom/lab-02-qualidade-java/repos/MPAndroidChart/MPChartLib/src/main/java/com/github/mikephil/charting/data/BarDataSet.java,com.github.mikephil.charting.data.BarDataSet,getStackSize/0,mStackSize,1
/home/jota/classroom/lab-02-qualidade-java/repos/MPAndroidChart/MPChartLib/src/main/java/com/github/mikephil/charting/data/BarDataSet.java,com.github.mikephil.charting.data.BarDataSet,copy/1[com.github.mikephil.charting.data.BarDataSet],mHighLightAlpha,1
/home/jota/classroom/lab-02-qualidade-java/repos/MPAndroidChart/MPChartLib/src/main/java/com/github/mikephil/charting/data/BarDataSet.java,com.github.mikephil.charting.data.BarDataSet,copy/1[com.github.mikephil.charting.data.BarDataSet],mBarBorderWidth,1
/home/jota/classroom/lab-02-qualidade-java/repos/MPAndroidChart/MPChartLib/src/main/java/com/github/mikephil/charting/data/BarDataSet.java,com.github.mikephil.charting.data.BarDataSet,copy/1[com.github.mikephil.charting.data.BarDataSet],mStackSize,1
/home/jota/classroom/lab-02-qualidade-java/repos/MPAndroidChart/MPChartLib/src/main/java/com/github/mikephil/charting/data/BarDataSet.java,com.github.mikephil.charting.data.BarDataSet,copy/1[com.github.mikephil.charting.data.BarDataSet],mStackLabels,1
/home/jota/classroom/lab-02-qualidade-java/repos/MPAndroidChart/MPChartLib/src/main/java/com/github/mikephil/charting/data/BarDataSet.java,com.github.mikephil.charting.data.BarDataSet,copy/1[com.github.mikephil.charting.data.BarDataSet],mBarShadowColor,1
/home/jota/classroom/lab-02-qualidade-java/repos/MPAndroidChart/MPChartLib/src/main/java/com/github/mikephil/charting/data/BarDataSet.java,com.github.mikephil.charting.data.BarDataSet,setStackLabels/1[java.lang.String[]],mStackLabels,1
/home/jota/classroom/lab-02-qualidade-java/repos/MPAndroidChart/MPChartLib/src/main/java/com/github/mikephil/charting/data/BarDataSet.java,com.github.mikephil.charting.data.BarDataSet,getGradients/0,mFills,1
/home/jota/classroom/lab-02-qualidade-java/repos/MPAndroidChart/MPChartLib/src/main/java/com/github/mikephil/charting/data/BarDataSet.java,com.github.mikephil.charting.data.BarDataSet,getBarBorderWidth/0,mBarBorderWidth,1
/home/jota/classroom/lab-02-qualidade-java/repos/MPAndroidChart/MPChartLib/src/main/java/com/github/mikephil/charting/formatter/LargeValueFormatter.java,com.github.mikephil.charting.formatter.LargeValueFormatter,"getFormattedValue/4[float,com.github.mikephil.charting.data.Entry,int,com.github.mikephil.charting.utils.ViewPortHandler]",mText,1
/home/jota/classroom/lab-02-qualidade-java/repos/MPAndroidChart/MPChartLib/src/main/java/com/github/mikephil/charting/formatter/LargeValueFormatter.java,com.github.mikephil.charting.formatter.LargeValueFormatter,makePretty/1[double],mSuffix,1
/home/jota/classroom/lab-02-qualidade-java/repos/MPAndroidChart/MPChartLib/src/main/java/com/github/mikephil/charting/formatter/LargeValueFormatter.java,com.github.mikephil.charting.formatter.LargeValueFormatter,makePretty/1[double],mMaxLength,1
/home/jota/classroom/lab-02-qualidade-java/repos/MPAndroidChart/MPChartLib/src/main/java/com/github/mikephil/charting/formatter/LargeValueFormatter.java,com.github.mikephil.charting.formatter.LargeValueFormatter,makePretty/1[double],mFormat,1
/home/jota/classroom/lab-02-qualidade-java/repos/MPAndroidChart/MPChartLib/src/main/java/com/github/mikephil/charting/formatter/LargeValueFormatter.java,com.github.mikephil.charting.formatter.LargeValueFormatter,LargeValueFormatter/0,mFormat,1
/home/jota/classroom/lab-02-qualidade-java/repos/MPAndroidChart/MPChartLib/src/main/java/com/github/mikephil/charting/formatter/LargeValueFormatter.java,com.github.mikephil.charting.formatter.LargeValueFormatter,LargeValueFormatter/1[java.lang.String],mText,1
/home/jota/classroom/lab-02-qualidade-java/repos/MPAndroidChart/MPChartLib/src/main/java/com/github/mikephil/charting/formatter/LargeValueFormatter.java,com.github.mikephil.charting.formatter.LargeValueFormatter,setAppendix/1[java.lang.String],mText,1
/home/jota/classroom/lab-02-qualidade-java/repos/MPAndroidChart/MPChartLib/src/main/java/com/github/mikephil/charting/formatter/LargeValueFormatter.java,com.github.mikephil.charting.formatter.LargeValueFormatter,setSuffix/1[java.lang.String[]],mSuffix,1
/home/jota/classroom/lab-02-qualidade-java/repos/MPAndroidChart/MPChartLib/src/main/java/com/github/mikephil/charting/formatter/LargeValueFormatter.java,com.github.mikephil.charting.formatter.LargeValueFormatter,"getFormattedValue/2[float,com.github.mikephil.charting.components.AxisBase]",mText,1
/home/jota/classroom/lab-02-qualidade-java/repos/MPAndroidChart/MPChartLib/src/main/java/com/github/mikephil/charting/formatter/LargeValueFormatter.java,com.github.mikephil.charting.formatter.LargeValueFormatter,setMaxLength/1[int],mMaxLength,1
/home/jota/classroom/lab-02-qualidade-java/repos/MPAndroidChart/MPChartExample/src/main/java/com/xxmassdeveloper/mpchartexample/HorizontalBarNegativeChartActivity.java,com.xxmassdeveloper.mpchartexample.HorizontalBarNegativeChartActivity,onCreate/1[com.xxmassdeveloper.mpchartexample.Bundle],seekBarX,3
