file,class,method,variable,usage
/home/jota/classroom/lab-02-qualidade-java/repos/MPAndroidChart/MPChartExample/src/main/java/com/xxmassdeveloper/mpchartexample/fragments/PieChartFrag.java,com.xxmassdeveloper.mpchartexample.fragments.PieChartFrag,"onCreateView/3[com.xxmassdeveloper.mpchartexample.fragments.LayoutInflater,com.xxmassdeveloper.mpchartexample.fragments.ViewGroup,com.xxmassdeveloper.mpchartexample.fragments.Bundle]",container,1
/home/jota/classroom/lab-02-qualidade-java/repos/MPAndroidChart/MPChartExample/src/main/java/com/xxmassdeveloper/mpchartexample/fragments/PieChartFrag.java,com.xxmassdeveloper.mpchartexample.fragments.PieChartFrag,"onCreateView/3[com.xxmassdeveloper.mpchartexample.fragments.LayoutInflater,com.xxmassdeveloper.mpchartexample.fragments.ViewGroup,com.xxmassdeveloper.mpchartexample.fragments.Bundle]",savedInstanceState,0
/home/jota/classroom/lab-02-qualidade-java/repos/MPAndroidChart/MPChartExample/src/main/java/com/xxmassdeveloper/mpchartexample/fragments/PieChartFrag.java,com.xxmassdeveloper.mpchartexample.fragments.PieChartFrag,"onCreateView/3[com.xxmassdeveloper.mpchartexample.fragments.LayoutInflater,com.xxmassdeveloper.mpchartexample.fragments.ViewGroup,com.xxmassdeveloper.mpchartexample.fragments.Bundle]",tf,2
/home/jota/classroom/lab-02-qualidade-java/repos/MPAndroidChart/MPChartExample/src/main/java/com/xxmassdeveloper/mpchartexample/fragments/PieChartFrag.java,com.xxmassdeveloper.mpchartexample.fragments.PieChartFrag,"onCreateView/3[com.xxmassdeveloper.mpchartexample.fragments.LayoutInflater,com.xxmassdeveloper.mpchartexample.fragments.ViewGroup,com.xxmassdeveloper.mpchartexample.fragments.Bundle]",v,2
/home/jota/classroom/lab-02-qualidade-java/repos/MPAndroidChart/MPChartExample/src/main/java/com/xxmassdeveloper/mpchartexample/fragments/PieChartFrag.java,com.xxmassdeveloper.mpchartexample.fragments.PieChartFrag,"onCreateView/3[com.xxmassdeveloper.mpchartexample.fragments.LayoutInflater,com.xxmassdeveloper.mpchartexample.fragments.ViewGroup,com.xxmassdeveloper.mpchartexample.fragments.Bundle]",l,4
/home/jota/classroom/lab-02-qualidade-java/repos/MPAndroidChart/MPChartExample/src/main/java/com/xxmassdeveloper/mpchartexample/fragments/PieChartFrag.java,com.xxmassdeveloper.mpchartexample.fragments.PieChartFrag,"onCreateView/3[com.xxmassdeveloper.mpchartexample.fragments.LayoutInflater,com.xxmassdeveloper.mpchartexample.fragments.ViewGroup,com.xxmassdeveloper.mpchartexample.fragments.Bundle]",inflater,1
/home/jota/classroom/lab-02-qualidade-java/repos/MPAndroidChart/MPChartExample/src/main/java/com/xxmassdeveloper/mpchartexample/fragments/PieChartFrag.java,com.xxmassdeveloper.mpchartexample.fragments.PieChartFrag,generateCenterText/0,s,4
/home/jota/classroom/lab-02-qualidade-java/repos/MPAndroidChart/MPChartLib/src/main/java/com/github/mikephil/charting/data/BarDataSet.java,com.github.mikephil.charting.data.BarDataSet,calcEntryCountIncludingStacks/1[java.util.List<com.github.mikephil.charting.data.BarEntry>],vals,2
/home/jota/classroom/lab-02-qualidade-java/repos/MPAndroidChart/MPChartLib/src/main/java/com/github/mikephil/charting/data/BarDataSet.java,com.github.mikephil.charting.data.BarDataSet,calcEntryCountIncludingStacks/1[java.util.List<com.github.mikephil.charting.data.BarEntry>],i,3
/home/jota/classroom/lab-02-qualidade-java/repos/MPAndroidChart/MPChartLib/src/main/java/com/github/mikephil/charting/data/BarDataSet.java,com.github.mikephil.charting.data.BarDataSet,calcEntryCountIncludingStacks/1[java.util.List<com.github.mikephil.charting.data.BarEntry>],yVals,2
/home/jota/classroom/lab-02-qualidade-java/repos/MPAndroidChart/MPChartLib/src/main/java/com/github/mikephil/charting/data/BarDataSet.java,com.github.mikephil.charting.data.BarDataSet,setGradientColors/1[java.util.List<com.github.mikephil.charting.utils.Fill>],gradientColors,1
/home/jota/classroom/lab-02-qualidade-java/repos/MPAndroidChart/MPChartLib/src/main/java/com/github/mikephil/charting/data/BarDataSet.java,com.github.mikephil.charting.data.BarDataSet,setBarBorderColor/1[int],color,1
/home/jota/classroom/lab-02-qualidade-java/repos/MPAndroidChart/MPChartLib/src/main/java/com/github/mikephil/charting/data/BarDataSet.java,com.github.mikephil.charting.data.BarDataSet,setBarBorderWidth/1[float],width,1
/home/jota/classroom/lab-02-qualidade-java/repos/MPAndroidChart/MPChartLib/src/main/java/com/github/mikephil/charting/data/BarDataSet.java,com.github.mikephil.charting.data.BarDataSet,"setGradientColor/2[int,int]",endColor,1
/home/jota/classroom/lab-02-qualidade-java/repos/MPAndroidChart/MPChartLib/src/main/java/com/github/mikephil/charting/data/BarDataSet.java,com.github.mikephil.charting.data.BarDataSet,"setGradientColor/2[int,int]",startColor,1
/home/jota/classroom/lab-02-qualidade-java/repos/MPAndroidChart/MPChartLib/src/main/java/com/github/mikephil/charting/data/BarDataSet.java,com.github.mikephil.charting.data.BarDataSet,setFills/1[java.util.List<com.github.mikephil.charting.utils.Fill>],fills,1
/home/jota/classroom/lab-02-qualidade-java/repos/MPAndroidChart/MPChartLib/src/main/java/com/github/mikephil/charting/data/BarDataSet.java,com.github.mikephil.charting.data.BarDataSet,"BarDataSet/2[java.util.List<com.github.mikephil.charting.data.BarEntry>,java.lang.String]",yVals,3
/home/jota/classroom/lab-02-qualidade-java/repos/MPAndroidChart/MPChartLib/src/main/java/com/github/mikephil/charting/data/BarDataSet.java,com.github.mikephil.charting.data.BarDataSet,"BarDataSet/2[java.util.List<com.github.mikephil.charting.data.BarEntry>,java.lang.String]",label,1
/home/jota/classroom/lab-02-qualidade-java/repos/MPAndroidChart/MPChartLib/src/main/java/com/github/mikephil/charting/data/BarDataSet.java,com.github.mikephil.charting.data.BarDataSet,setBarShadowColor/1[int],color,1
/home/jota/classroom/lab-02-qualidade-java/repos/MPAndroidChart/MPChartLib/src/main/java/com/github/mikephil/charting/data/BarDataSet.java,com.github.mikephil.charting.data.BarDataSet,setHighLightAlpha/1[int],alpha,1
/home/jota/classroom/lab-02-qualidade-java/repos/MPAndroidChart/MPChartLib/src/main/java/com/github/mikephil/charting/data/BarDataSet.java,com.github.mikephil.charting.data.BarDataSet,calcStackSize/1[java.util.List<com.github.mikephil.charting.data.BarEntry>],vals,3
/home/jota/classroom/lab-02-qualidade-java/repos/MPAndroidChart/MPChartLib/src/main/java/com/github/mikephil/charting/data/BarDataSet.java,com.github.mikephil.charting.data.BarDataSet,calcStackSize/1[java.util.List<com.github.mikephil.charting.data.BarEntry>],i,3
