file,class,method,variable,usage
/home/jota/classroom/lab-02-qualidade-java/repos/NewPipe/app/src/main/java/org/schabi/newpipe/local/holder/PlaylistItemHolder.java,org.schabi.newpipe.local.holder.PlaylistItemHolder,"PlaylistItemHolder/3[org.schabi.newpipe.local.LocalItemBuilder,int,org.schabi.newpipe.local.holder.ViewGroup]",itemUploaderView,2
/home/jota/classroom/lab-02-qualidade-java/repos/NewPipe/app/src/main/java/org/schabi/newpipe/local/holder/PlaylistItemHolder.java,org.schabi.newpipe.local.holder.PlaylistItemHolder,"PlaylistItemHolder/3[org.schabi.newpipe.local.LocalItemBuilder,int,org.schabi.newpipe.local.holder.ViewGroup]",itemStreamCountView,2
/home/jota/classroom/lab-02-qualidade-java/repos/NewPipe/app/src/main/java/org/schabi/newpipe/local/holder/PlaylistItemHolder.java,org.schabi.newpipe.local.holder.PlaylistItemHolder,"PlaylistItemHolder/3[org.schabi.newpipe.local.LocalItemBuilder,int,org.schabi.newpipe.local.holder.ViewGroup]",itemTitleView,2
/home/jota/classroom/lab-02-qualidade-java/repos/NewPipe/app/src/main/java/org/schabi/newpipe/local/holder/PlaylistItemHolder.java,org.schabi.newpipe.local.holder.PlaylistItemHolder,"PlaylistItemHolder/3[org.schabi.newpipe.local.LocalItemBuilder,int,org.schabi.newpipe.local.holder.ViewGroup]",itemThumbnailView,2
/home/jota/classroom/lab-02-qualidade-java/repos/NewPipe/app/src/main/java/org/schabi/newpipe/settings/DebugSettingsFragment.java,org.schabi.newpipe.settings.DebugSettingsFragment,"onCreatePreferences/2[org.schabi.newpipe.settings.Bundle,java.lang.String]",DUMMY,5
/home/jota/classroom/lab-02-qualidade-java/repos/NewPipe/app/src/main/java/org/schabi/newpipe/local/subscription/SubscriptionsImportFragment.java,org.schabi.newpipe.local.subscription.SubscriptionsImportFragment,setInitialData/1[int],currentServiceId,1
/home/jota/classroom/lab-02-qualidade-java/repos/NewPipe/app/src/main/java/org/schabi/newpipe/local/subscription/SubscriptionsImportFragment.java,org.schabi.newpipe.local.subscription.SubscriptionsImportFragment,onImportUrl/1[java.lang.String],currentServiceId,1
/home/jota/classroom/lab-02-qualidade-java/repos/NewPipe/app/src/main/java/org/schabi/newpipe/local/subscription/SubscriptionsImportFragment.java,org.schabi.newpipe.local.subscription.SubscriptionsImportFragment,onImportFile/0,requestImportFileLauncher,1
/home/jota/classroom/lab-02-qualidade-java/repos/NewPipe/app/src/main/java/org/schabi/newpipe/local/subscription/SubscriptionsImportFragment.java,org.schabi.newpipe.local.subscription.SubscriptionsImportFragment,"initViews/2[org.schabi.newpipe.local.subscription.View,org.schabi.newpipe.local.subscription.Bundle]",inputButton,3
/home/jota/classroom/lab-02-qualidade-java/repos/NewPipe/app/src/main/java/org/schabi/newpipe/local/subscription/SubscriptionsImportFragment.java,org.schabi.newpipe.local.subscription.SubscriptionsImportFragment,"initViews/2[org.schabi.newpipe.local.subscription.View,org.schabi.newpipe.local.subscription.Bundle]",supportedSources,1
/home/jota/classroom/lab-02-qualidade-java/repos/NewPipe/app/src/main/java/org/schabi/newpipe/local/subscription/SubscriptionsImportFragment.java,org.schabi.newpipe.local.subscription.SubscriptionsImportFragment,"initViews/2[org.schabi.newpipe.local.subscription.View,org.schabi.newpipe.local.subscription.Bundle]",instructionsString,3
/home/jota/classroom/lab-02-qualidade-java/repos/NewPipe/app/src/main/java/org/schabi/newpipe/local/subscription/SubscriptionsImportFragment.java,org.schabi.newpipe.local.subscription.SubscriptionsImportFragment,"initViews/2[org.schabi.newpipe.local.subscription.View,org.schabi.newpipe.local.subscription.Bundle]",inputText,3
/home/jota/classroom/lab-02-qualidade-java/repos/NewPipe/app/src/main/java/org/schabi/newpipe/local/subscription/SubscriptionsImportFragment.java,org.schabi.newpipe.local.subscription.SubscriptionsImportFragment,"initViews/2[org.schabi.newpipe.local.subscription.View,org.schabi.newpipe.local.subscription.Bundle]",infoTextView,1
/home/jota/classroom/lab-02-qualidade-java/repos/NewPipe/app/src/main/java/org/schabi/newpipe/local/subscription/SubscriptionsImportFragment.java,org.schabi.newpipe.local.subscription.SubscriptionsImportFragment,"initViews/2[org.schabi.newpipe.local.subscription.View,org.schabi.newpipe.local.subscription.Bundle]",currentServiceId,1
