file,class,method,variable,usage
/home/jota/classroom/lab-02-qualidade-java/repos/NewPipe/app/src/main/java/org/schabi/newpipe/player/playqueue/AbstractInfoPlayQueue.java,org.schabi.newpipe.player.playqueue.AbstractInfoPlayQueue$Anonymous2,onError/1[Throwable],e,2
/home/jota/classroom/lab-02-qualidade-java/repos/NewPipe/app/src/main/java/org/schabi/newpipe/player/playqueue/AbstractInfoPlayQueue.java,org.schabi.newpipe.player.playqueue.AbstractInfoPlayQueue$Anonymous2,onSubscribe/1[Disposable],d,2
/home/jota/classroom/lab-02-qualidade-java/repos/NewPipe/app/src/main/java/org/schabi/newpipe/player/playqueue/AbstractInfoPlayQueue.java,org.schabi.newpipe.player.playqueue.AbstractInfoPlayQueue$Anonymous2,onSuccess/1[ListExtractor.InfoItemsPage<? extends InfoItem>],result,3
/home/jota/classroom/lab-02-qualidade-java/repos/NewPipe/app/src/main/java/org/schabi/newpipe/player/playqueue/AbstractInfoPlayQueue.java,org.schabi.newpipe.player.playqueue.AbstractInfoPlayQueue$Anonymous1,onSubscribe/1[Disposable],d,2
/home/jota/classroom/lab-02-qualidade-java/repos/NewPipe/app/src/main/java/org/schabi/newpipe/player/playqueue/AbstractInfoPlayQueue.java,org.schabi.newpipe.player.playqueue.AbstractInfoPlayQueue$Anonymous1,onSuccess/1[T],result,3
/home/jota/classroom/lab-02-qualidade-java/repos/NewPipe/app/src/main/java/org/schabi/newpipe/player/playqueue/AbstractInfoPlayQueue.java,org.schabi.newpipe.player.playqueue.AbstractInfoPlayQueue$Anonymous1,onError/1[Throwable],e,2
/home/jota/classroom/lab-02-qualidade-java/repos/NewPipe/app/src/main/java/org/schabi/newpipe/local/holder/PlaylistItemHolder.java,org.schabi.newpipe.local.holder.PlaylistItemHolder,"updateFromItem/3[org.schabi.newpipe.database.LocalItem,org.schabi.newpipe.local.history.HistoryRecordManager,java.time.format.DateTimeFormatter]",dateTimeFormatter,0
/home/jota/classroom/lab-02-qualidade-java/repos/NewPipe/app/src/main/java/org/schabi/newpipe/local/holder/PlaylistItemHolder.java,org.schabi.newpipe.local.holder.PlaylistItemHolder,"updateFromItem/3[org.schabi.newpipe.database.LocalItem,org.schabi.newpipe.local.history.HistoryRecordManager,java.time.format.DateTimeFormatter]",view,1
/home/jota/classroom/lab-02-qualidade-java/repos/NewPipe/app/src/main/java/org/schabi/newpipe/local/holder/PlaylistItemHolder.java,org.schabi.newpipe.local.holder.PlaylistItemHolder,"updateFromItem/3[org.schabi.newpipe.database.LocalItem,org.schabi.newpipe.local.history.HistoryRecordManager,java.time.format.DateTimeFormatter]",localItem,2
/home/jota/classroom/lab-02-qualidade-java/repos/NewPipe/app/src/main/java/org/schabi/newpipe/local/holder/PlaylistItemHolder.java,org.schabi.newpipe.local.holder.PlaylistItemHolder,"updateFromItem/3[org.schabi.newpipe.database.LocalItem,org.schabi.newpipe.local.history.HistoryRecordManager,java.time.format.DateTimeFormatter]",historyRecordManager,0
