file,class,method,variable,usage
/home/jota/classroom/lab-02-qualidade-java/repos/SpringAll/47.Spring-Boot-Content-Negotiation/src/main/java/com/example/demo/handler/PropertiesHandlerMethodReturnValueHandler.java,com.example.demo.handler.PropertiesHandlerMethodReturnValueHandler,"handleReturnValue/4[java.lang.Object,com.example.demo.handler.MethodParameter,com.example.demo.handler.ModelAndViewContainer,com.example.demo.handler.NativeWebRequest]",headers,1
/home/jota/classroom/lab-02-qualidade-java/repos/SpringAll/47.Spring-Boot-Content-Negotiation/src/main/java/com/example/demo/handler/PropertiesHandlerMethodReturnValueHandler.java,com.example.demo.handler.PropertiesHandlerMethodReturnValueHandler,"handleReturnValue/4[java.lang.Object,com.example.demo.handler.MethodParameter,com.example.demo.handler.ModelAndViewContainer,com.example.demo.handler.NativeWebRequest]",charset,5
/home/jota/classroom/lab-02-qualidade-java/repos/SpringAll/47.Spring-Boot-Content-Negotiation/src/main/java/com/example/demo/handler/PropertiesHandlerMethodReturnValueHandler.java,com.example.demo.handler.PropertiesHandlerMethodReturnValueHandler,"handleReturnValue/4[java.lang.Object,com.example.demo.handler.MethodParameter,com.example.demo.handler.ModelAndViewContainer,com.example.demo.handler.NativeWebRequest]",returnValue,1
/home/jota/classroom/lab-02-qualidade-java/repos/SpringAll/47.Spring-Boot-Content-Negotiation/src/main/java/com/example/demo/handler/PropertiesHandlerMethodReturnValueHandler.java,com.example.demo.handler.PropertiesHandlerMethodReturnValueHandler,"handleReturnValue/4[java.lang.Object,com.example.demo.handler.MethodParameter,com.example.demo.handler.ModelAndViewContainer,com.example.demo.handler.NativeWebRequest]",webRequest,1
/home/jota/classroom/lab-02-qualidade-java/repos/SpringAll/47.Spring-Boot-Content-Negotiation/src/main/java/com/example/demo/handler/PropertiesHandlerMethodReturnValueHandler.java,com.example.demo.handler.PropertiesHandlerMethodReturnValueHandler,"handleReturnValue/4[java.lang.Object,com.example.demo.handler.MethodParameter,com.example.demo.handler.ModelAndViewContainer,com.example.demo.handler.NativeWebRequest]",mavContainer,1
/home/jota/classroom/lab-02-qualidade-java/repos/SpringAll/47.Spring-Boot-Content-Negotiation/src/main/java/com/example/demo/handler/PropertiesHandlerMethodReturnValueHandler.java,com.example.demo.handler.PropertiesHandlerMethodReturnValueHandler,"handleReturnValue/4[java.lang.Object,com.example.demo.handler.MethodParameter,com.example.demo.handler.ModelAndViewContainer,com.example.demo.handler.NativeWebRequest]",body,1
/home/jota/classroom/lab-02-qualidade-java/repos/SpringAll/47.Spring-Boot-Content-Negotiation/src/main/java/com/example/demo/handler/PropertiesHandlerMethodReturnValueHandler.java,com.example.demo.handler.PropertiesHandlerMethodReturnValueHandler,"handleReturnValue/4[java.lang.Object,com.example.demo.handler.MethodParameter,com.example.demo.handler.ModelAndViewContainer,com.example.demo.handler.NativeWebRequest]",servletServerHttpResponse,2
/home/jota/classroom/lab-02-qualidade-java/repos/SpringAll/47.Spring-Boot-Content-Negotiation/src/main/java/com/example/demo/handler/PropertiesHandlerMethodReturnValueHandler.java,com.example.demo.handler.PropertiesHandlerMethodReturnValueHandler,"handleReturnValue/4[java.lang.Object,com.example.demo.handler.MethodParameter,com.example.demo.handler.ModelAndViewContainer,com.example.demo.handler.NativeWebRequest]",response,1
/home/jota/classroom/lab-02-qualidade-java/repos/SpringAll/47.Spring-Boot-Content-Negotiation/src/main/java/com/example/demo/handler/PropertiesHandlerMethodReturnValueHandler.java,com.example.demo.handler.PropertiesHandlerMethodReturnValueHandler,"handleReturnValue/4[java.lang.Object,com.example.demo.handler.MethodParameter,com.example.demo.handler.ModelAndViewContainer,com.example.demo.handler.NativeWebRequest]",servletWebRequest,1
/home/jota/classroom/lab-02-qualidade-java/repos/SpringAll/47.Spring-Boot-Content-Negotiation/src/main/java/com/example/demo/handler/PropertiesHandlerMethodReturnValueHandler.java,com.example.demo.handler.PropertiesHandlerMethodReturnValueHandler,"handleReturnValue/4[java.lang.Object,com.example.demo.handler.MethodParameter,com.example.demo.handler.ModelAndViewContainer,com.example.demo.handler.NativeWebRequest]",contentType,2
/home/jota/classroom/lab-02-qualidade-java/repos/SpringAll/47.Spring-Boot-Content-Negotiation/src/main/java/com/example/demo/handler/PropertiesHandlerMethodReturnValueHandler.java,com.example.demo.handler.PropertiesHandlerMethodReturnValueHandler,"handleReturnValue/4[java.lang.Object,com.example.demo.handler.MethodParameter,com.example.demo.handler.ModelAndViewContainer,com.example.demo.handler.NativeWebRequest]",returnType,0
/home/jota/classroom/lab-02-qualidade-java/repos/SpringAll/47.Spring-Boot-Content-Negotiation/src/main/java/com/example/demo/handler/PropertiesHandlerMethodReturnValueHandler.java,com.example.demo.handler.PropertiesHandlerMethodReturnValueHandler,"handleReturnValue/4[java.lang.Object,com.example.demo.handler.MethodParameter,com.example.demo.handler.ModelAndViewContainer,com.example.demo.handler.NativeWebRequest]",properties,1
/home/jota/classroom/lab-02-qualidade-java/repos/SpringAll/47.Spring-Boot-Content-Negotiation/src/main/java/com/example/demo/handler/PropertiesHandlerMethodReturnValueHandler.java,com.example.demo.handler.PropertiesHandlerMethodReturnValueHandler,"handleReturnValue/4[java.lang.Object,com.example.demo.handler.MethodParameter,com.example.demo.handler.ModelAndViewContainer,com.example.demo.handler.NativeWebRequest]",outputStreamWriter,1
/home/jota/classroom/lab-02-qualidade-java/repos/SpringAll/47.Spring-Boot-Content-Negotiation/src/main/java/com/example/demo/handler/PropertiesHandlerMethodReturnValueHandler.java,com.example.demo.handler.PropertiesHandlerMethodReturnValueHandler,supportsReturnType/1[com.example.demo.handler.MethodParameter],returnType,1
/home/jota/classroom/lab-02-qualidade-java/repos/SpringAll/02.Spring-Boot-Config/src/main/java/com/springboot/bean/BlogProperties.java,com.springboot.bean.BlogProperties,setTitle/1[java.lang.String],title,2
/home/jota/classroom/lab-02-qualidade-java/repos/SpringAll/02.Spring-Boot-Config/src/main/java/com/springboot/bean/BlogProperties.java,com.springboot.bean.BlogProperties,setName/1[java.lang.String],name,2
/home/jota/classroom/lab-02-qualidade-java/repos/SpringAll/69.spring-batch-itemwriter/src/main/java/cc/mrbird/batch/entity/TestData.java,TestData,setField2/1[String],field2,2
/home/jota/classroom/lab-02-qualidade-java/repos/SpringAll/69.spring-batch-itemwriter/src/main/java/cc/mrbird/batch/entity/TestData.java,TestData,setId/1[int],id,2
/home/jota/classroom/lab-02-qualidade-java/repos/SpringAll/69.spring-batch-itemwriter/src/main/java/cc/mrbird/batch/entity/TestData.java,TestData,setField3/1[String],field3,2
/home/jota/classroom/lab-02-qualidade-java/repos/SpringAll/69.spring-batch-itemwriter/src/main/java/cc/mrbird/batch/entity/TestData.java,TestData,setField1/1[String],field1,2
/home/jota/classroom/lab-02-qualidade-java/repos/SpringAll/48.Spring-Boot-CORS-Support/src/main/java/com/example/demo/config/WebConfigurer.java,com.example.demo.config.WebConfigurer,corsFilter/0,source,2
/home/jota/classroom/lab-02-qualidade-java/repos/SpringAll/48.Spring-Boot-CORS-Support/src/main/java/com/example/demo/config/WebConfigurer.java,com.example.demo.config.WebConfigurer,corsFilter/0,config,3
/home/jota/classroom/lab-02-qualidade-java/repos/SpringAll/48.Spring-Boot-CORS-Support/src/main/java/com/example/demo/config/WebConfigurer.java,com.example.demo.config.WebConfigurer,corsFilter/0,bean,2
