file,class,method,variable,usage
/home/jota/classroom/lab-02-qualidade-java/repos/Stirling-PDF/src/main/java/stirling/software/SPDF/controller/api/security/CertSignController.java,stirling.software.SPDF.controller.api.security.CertSignController$CreateSignature,"CreateSignature/2[java.security.KeyStore,char[]]",logoFile,2
/home/jota/classroom/lab-02-qualidade-java/repos/Stirling-PDF/src/main/java/stirling/software/SPDF/controller/api/security/CertSignController.java,stirling.software.SPDF.controller.api.security.CertSignController$CreateSignature,"createVisibleSignature/4[stirling.software.SPDF.controller.api.security.PDDocument,stirling.software.SPDF.controller.api.security.PDSignature,java.lang.Integer,java.lang.Boolean]",logoFile,1
/home/jota/classroom/lab-02-qualidade-java/repos/Stirling-PDF/src/main/java/stirling/software/SPDF/model/ApplicationProperties.java,stirling.software.SPDF.model.ApplicationProperties$Driver,Driver/1[java.lang.String],driverName,3
/home/jota/classroom/lab-02-qualidade-java/repos/Stirling-PDF/src/main/java/stirling/software/SPDF/model/ApplicationProperties.java,stirling.software.SPDF.model.ApplicationProperties$Driver,toString/0,driverName,1
/home/jota/classroom/lab-02-qualidade-java/repos/Stirling-PDF/src/main/java/stirling/software/SPDF/model/ApplicationProperties.java,stirling.software.SPDF.model.ApplicationProperties$Security$OAUTH2,setScopes/1[java.lang.String],scopes,3
/home/jota/classroom/lab-02-qualidade-java/repos/Stirling-PDF/src/main/java/stirling/software/SPDF/model/InputStreamTemplateResource.java,stirling.software.SPDF.model.InputStreamTemplateResource,reader/0,inputStream,1
/home/jota/classroom/lab-02-qualidade-java/repos/Stirling-PDF/src/main/java/stirling/software/SPDF/model/InputStreamTemplateResource.java,stirling.software.SPDF.model.InputStreamTemplateResource,reader/0,characterEncoding,1
/home/jota/classroom/lab-02-qualidade-java/repos/Stirling-PDF/src/main/java/stirling/software/SPDF/model/InputStreamTemplateResource.java,stirling.software.SPDF.model.InputStreamTemplateResource,"InputStreamTemplateResource/2[java.io.InputStream,java.lang.String]",inputStream,3
/home/jota/classroom/lab-02-qualidade-java/repos/Stirling-PDF/src/main/java/stirling/software/SPDF/model/InputStreamTemplateResource.java,stirling.software.SPDF.model.InputStreamTemplateResource,"InputStreamTemplateResource/2[java.io.InputStream,java.lang.String]",characterEncoding,3
/home/jota/classroom/lab-02-qualidade-java/repos/Stirling-PDF/src/main/java/stirling/software/SPDF/service/MetricsAggregatorService.java,stirling.software.SPDF.service.MetricsAggregatorService,"MetricsAggregatorService/3[stirling.software.SPDF.service.MeterRegistry,stirling.software.SPDF.service.PostHogService,stirling.software.SPDF.config.EndpointInspector]",endpointInspector,3
/home/jota/classroom/lab-02-qualidade-java/repos/Stirling-PDF/src/main/java/stirling/software/SPDF/service/MetricsAggregatorService.java,stirling.software.SPDF.service.MetricsAggregatorService,"MetricsAggregatorService/3[stirling.software.SPDF.service.MeterRegistry,stirling.software.SPDF.service.PostHogService,stirling.software.SPDF.config.EndpointInspector]",postHogService,3
/home/jota/classroom/lab-02-qualidade-java/repos/Stirling-PDF/src/main/java/stirling/software/SPDF/service/MetricsAggregatorService.java,stirling.software.SPDF.service.MetricsAggregatorService,"MetricsAggregatorService/3[stirling.software.SPDF.service.MeterRegistry,stirling.software.SPDF.service.PostHogService,stirling.software.SPDF.config.EndpointInspector]",meterRegistry,3
/home/jota/classroom/lab-02-qualidade-java/repos/Stirling-PDF/src/main/java/stirling/software/SPDF/service/MetricsAggregatorService.java,stirling.software.SPDF.service.MetricsAggregatorService,aggregateAndSendMetrics/0,lastSentMetrics,2
/home/jota/classroom/lab-02-qualidade-java/repos/Stirling-PDF/src/main/java/stirling/software/SPDF/service/MetricsAggregatorService.java,stirling.software.SPDF.service.MetricsAggregatorService,aggregateAndSendMetrics/0,endpointInspector,2
/home/jota/classroom/lab-02-qualidade-java/repos/Stirling-PDF/src/main/java/stirling/software/SPDF/service/MetricsAggregatorService.java,stirling.software.SPDF.service.MetricsAggregatorService,aggregateAndSendMetrics/0,logger,2
/home/jota/classroom/lab-02-qualidade-java/repos/Stirling-PDF/src/main/java/stirling/software/SPDF/service/MetricsAggregatorService.java,stirling.software.SPDF.service.MetricsAggregatorService,aggregateAndSendMetrics/0,postHogService,1
/home/jota/classroom/lab-02-qualidade-java/repos/Stirling-PDF/src/main/java/stirling/software/SPDF/service/MetricsAggregatorService.java,stirling.software.SPDF.service.MetricsAggregatorService,aggregateAndSendMetrics/0,meterRegistry,1
/home/jota/classroom/lab-02-qualidade-java/repos/Stirling-PDF/src/main/java/org/apache/pdfbox/examples/util/DeletingRandomAccessFile.java,org.apache.pdfbox.examples.util.DeletingRandomAccessFile,DeletingRandomAccessFile/1[java.io.File],tempFilePath,1
/home/jota/classroom/lab-02-qualidade-java/repos/Stirling-PDF/src/main/java/org/apache/pdfbox/examples/util/DeletingRandomAccessFile.java,org.apache.pdfbox.examples.util.DeletingRandomAccessFile,close/0,tempFilePath,4
/home/jota/classroom/lab-02-qualidade-java/repos/Stirling-PDF/src/main/java/stirling/software/SPDF/model/User.java,stirling.software.SPDF.model.User,getApiKey/0,apiKey,1
/home/jota/classroom/lab-02-qualidade-java/repos/Stirling-PDF/src/main/java/stirling/software/SPDF/model/User.java,stirling.software.SPDF.model.User,setEnabled/1[boolean],enabled,3
/home/jota/classroom/lab-02-qualidade-java/repos/Stirling-PDF/src/main/java/stirling/software/SPDF/model/User.java,stirling.software.SPDF.model.User,getId/0,id,1
/home/jota/classroom/lab-02-qualidade-java/repos/Stirling-PDF/src/main/java/stirling/software/SPDF/model/User.java,stirling.software.SPDF.model.User,getSettings/0,settings,1
/home/jota/classroom/lab-02-qualidade-java/repos/Stirling-PDF/src/main/java/stirling/software/SPDF/model/User.java,stirling.software.SPDF.model.User,setAuthorities/1[java.util.Set<stirling.software.SPDF.model.Authority>],authorities,3
/home/jota/classroom/lab-02-qualidade-java/repos/Stirling-PDF/src/main/java/stirling/software/SPDF/model/User.java,stirling.software.SPDF.model.User,isFirstLogin/0,isFirstLogin,3
/home/jota/classroom/lab-02-qualidade-java/repos/Stirling-PDF/src/main/java/stirling/software/SPDF/model/User.java,stirling.software.SPDF.model.User,setApiKey/1[java.lang.String],apiKey,3
/home/jota/classroom/lab-02-qualidade-java/repos/Stirling-PDF/src/main/java/stirling/software/SPDF/model/User.java,stirling.software.SPDF.model.User,getAuthenticationType/0,authenticationType,1
/home/jota/classroom/lab-02-qualidade-java/repos/Stirling-PDF/src/main/java/stirling/software/SPDF/model/User.java,stirling.software.SPDF.model.User,getUsername/0,username,1
/home/jota/classroom/lab-02-qualidade-java/repos/Stirling-PDF/src/main/java/stirling/software/SPDF/model/User.java,stirling.software.SPDF.model.User,getPassword/0,password,1
/home/jota/classroom/lab-02-qualidade-java/repos/Stirling-PDF/src/main/java/stirling/software/SPDF/model/User.java,stirling.software.SPDF.model.User,setAuthenticationType/1[stirling.software.SPDF.model.AuthenticationType],authenticationType,3
/home/jota/classroom/lab-02-qualidade-java/repos/Stirling-PDF/src/main/java/stirling/software/SPDF/model/User.java,stirling.software.SPDF.model.User,"setSettings/1[java.util.Map<java.lang.String,java.lang.String>]",settings,3
/home/jota/classroom/lab-02-qualidade-java/repos/Stirling-PDF/src/main/java/stirling/software/SPDF/model/User.java,stirling.software.SPDF.model.User,getAuthorities/0,authorities,1
/home/jota/classroom/lab-02-qualidade-java/repos/Stirling-PDF/src/main/java/stirling/software/SPDF/model/User.java,stirling.software.SPDF.model.User,addAuthority/1[stirling.software.SPDF.model.Authority],authorities,3
/home/jota/classroom/lab-02-qualidade-java/repos/Stirling-PDF/src/main/java/stirling/software/SPDF/model/User.java,stirling.software.SPDF.model.User,getRolesAsString/0,authorities,1
/home/jota/classroom/lab-02-qualidade-java/repos/Stirling-PDF/src/main/java/stirling/software/SPDF/model/User.java,stirling.software.SPDF.model.User,setFirstLogin/1[boolean],isFirstLogin,3
/home/jota/classroom/lab-02-qualidade-java/repos/Stirling-PDF/src/main/java/stirling/software/SPDF/model/User.java,stirling.software.SPDF.model.User,isEnabled/0,enabled,1
/home/jota/classroom/lab-02-qualidade-java/repos/Stirling-PDF/src/main/java/stirling/software/SPDF/model/User.java,stirling.software.SPDF.model.User,hasPassword/0,password,2
/home/jota/classroom/lab-02-qualidade-java/repos/Stirling-PDF/src/main/java/stirling/software/SPDF/model/User.java,stirling.software.SPDF.model.User,setId/1[java.lang.Long],id,3
/home/jota/classroom/lab-02-qualidade-java/repos/Stirling-PDF/src/main/java/stirling/software/SPDF/model/User.java,stirling.software.SPDF.model.User,setUsername/1[java.lang.String],username,3
/home/jota/classroom/lab-02-qualidade-java/repos/Stirling-PDF/src/main/java/stirling/software/SPDF/model/User.java,stirling.software.SPDF.model.User,addAuthorities/1[java.util.Set<stirling.software.SPDF.model.Authority>],authorities,3
/home/jota/classroom/lab-02-qualidade-java/repos/Stirling-PDF/src/main/java/stirling/software/SPDF/model/User.java,stirling.software.SPDF.model.User,setPassword/1[java.lang.String],password,3
/home/jota/classroom/lab-02-qualidade-java/repos/Stirling-PDF/src/main/java/stirling/software/SPDF/config/MetricsFilter.java,stirling.software.SPDF.config.MetricsFilter,MetricsFilter/1[stirling.software.SPDF.config.MeterRegistry],meterRegistry,3
/home/jota/classroom/lab-02-qualidade-java/repos/Stirling-PDF/src/main/java/stirling/software/SPDF/config/MetricsFilter.java,stirling.software.SPDF.config.MetricsFilter,"doFilterInternal/3[stirling.software.SPDF.config.HttpServletRequest,stirling.software.SPDF.config.HttpServletResponse,stirling.software.SPDF.config.FilterChain]",meterRegistry,1
