file,class,method,variable,usage
/home/jota/classroom/lab-02-qualidade-java/repos/Stirling-PDF/src/main/java/stirling/software/SPDF/repository/AuthorityRepository.java,stirling.software.SPDF.repository.AuthorityRepository,findByUser_Username/1[java.lang.String],username,0
/home/jota/classroom/lab-02-qualidade-java/repos/Stirling-PDF/src/main/java/stirling/software/SPDF/repository/AuthorityRepository.java,stirling.software.SPDF.repository.AuthorityRepository,findByUserId/1[long],user_id,0
/home/jota/classroom/lab-02-qualidade-java/repos/Stirling-PDF/src/main/java/stirling/software/SPDF/controller/api/security/CertSignController.java,stirling.software.SPDF.controller.api.security.CertSignController$CreateSignature,"CreateSignature/2[java.security.KeyStore,char[]]",pin,1
/home/jota/classroom/lab-02-qualidade-java/repos/Stirling-PDF/src/main/java/stirling/software/SPDF/controller/api/security/CertSignController.java,stirling.software.SPDF.controller.api.security.CertSignController$CreateSignature,"CreateSignature/2[java.security.KeyStore,char[]]",resource,1
/home/jota/classroom/lab-02-qualidade-java/repos/Stirling-PDF/src/main/java/stirling/software/SPDF/controller/api/security/CertSignController.java,stirling.software.SPDF.controller.api.security.CertSignController$CreateSignature,"CreateSignature/2[java.security.KeyStore,char[]]",e,1
/home/jota/classroom/lab-02-qualidade-java/repos/Stirling-PDF/src/main/java/stirling/software/SPDF/controller/api/security/CertSignController.java,stirling.software.SPDF.controller.api.security.CertSignController$CreateSignature,"CreateSignature/2[java.security.KeyStore,char[]]",keystore,1
/home/jota/classroom/lab-02-qualidade-java/repos/Stirling-PDF/src/main/java/stirling/software/SPDF/controller/api/security/CertSignController.java,stirling.software.SPDF.controller.api.security.CertSignController$CreateSignature,"CreateSignature/2[java.security.KeyStore,char[]]",is,1
/home/jota/classroom/lab-02-qualidade-java/repos/Stirling-PDF/src/main/java/stirling/software/SPDF/controller/api/security/CertSignController.java,stirling.software.SPDF.controller.api.security.CertSignController$CreateSignature,"createVisibleSignature/4[stirling.software.SPDF.controller.api.security.PDDocument,stirling.software.SPDF.controller.api.security.PDSignature,java.lang.Integer,java.lang.Boolean]",appearanceStream,2
/home/jota/classroom/lab-02-qualidade-java/repos/Stirling-PDF/src/main/java/stirling/software/SPDF/controller/api/security/CertSignController.java,stirling.software.SPDF.controller.api.security.CertSignController$CreateSignature,"createVisibleSignature/4[stirling.software.SPDF.controller.api.security.PDDocument,stirling.software.SPDF.controller.api.security.PDSignature,java.lang.Integer,java.lang.Boolean]",date,1
/home/jota/classroom/lab-02-qualidade-java/repos/Stirling-PDF/src/main/java/stirling/software/SPDF/controller/api/security/CertSignController.java,stirling.software.SPDF.controller.api.security.CertSignController$CreateSignature,"createVisibleSignature/4[stirling.software.SPDF.controller.api.security.PDDocument,stirling.software.SPDF.controller.api.security.PDSignature,java.lang.Integer,java.lang.Boolean]",x500Name,1
/home/jota/classroom/lab-02-qualidade-java/repos/Stirling-PDF/src/main/java/stirling/software/SPDF/controller/api/security/CertSignController.java,stirling.software.SPDF.controller.api.security.CertSignController$CreateSignature,"createVisibleSignature/4[stirling.software.SPDF.controller.api.security.PDDocument,stirling.software.SPDF.controller.api.security.PDSignature,java.lang.Integer,java.lang.Boolean]",reason,1
/home/jota/classroom/lab-02-qualidade-java/repos/Stirling-PDF/src/main/java/stirling/software/SPDF/controller/api/security/CertSignController.java,stirling.software.SPDF.controller.api.security.CertSignController$CreateSignature,"createVisibleSignature/4[stirling.software.SPDF.controller.api.security.PDDocument,stirling.software.SPDF.controller.api.security.PDSignature,java.lang.Integer,java.lang.Boolean]",showLogo,1
/home/jota/classroom/lab-02-qualidade-java/repos/Stirling-PDF/src/main/java/stirling/software/SPDF/controller/api/security/CertSignController.java,stirling.software.SPDF.controller.api.security.CertSignController$CreateSignature,"createVisibleSignature/4[stirling.software.SPDF.controller.api.security.PDDocument,stirling.software.SPDF.controller.api.security.PDSignature,java.lang.Integer,java.lang.Boolean]",img,1
/home/jota/classroom/lab-02-qualidade-java/repos/Stirling-PDF/src/main/java/stirling/software/SPDF/controller/api/security/CertSignController.java,stirling.software.SPDF.controller.api.security.CertSignController$CreateSignature,"createVisibleSignature/4[stirling.software.SPDF.controller.api.security.PDDocument,stirling.software.SPDF.controller.api.security.PDSignature,java.lang.Integer,java.lang.Boolean]",pageNumber,1
/home/jota/classroom/lab-02-qualidade-java/repos/Stirling-PDF/src/main/java/stirling/software/SPDF/controller/api/security/CertSignController.java,stirling.software.SPDF.controller.api.security.CertSignController$CreateSignature,"createVisibleSignature/4[stirling.software.SPDF.controller.api.security.PDDocument,stirling.software.SPDF.controller.api.security.PDSignature,java.lang.Integer,java.lang.Boolean]",widget,2
/home/jota/classroom/lab-02-qualidade-java/repos/Stirling-PDF/src/main/java/stirling/software/SPDF/controller/api/security/CertSignController.java,stirling.software.SPDF.controller.api.security.CertSignController$CreateSignature,"createVisibleSignature/4[stirling.software.SPDF.controller.api.security.PDDocument,stirling.software.SPDF.controller.api.security.PDSignature,java.lang.Integer,java.lang.Boolean]",srcDoc,1
/home/jota/classroom/lab-02-qualidade-java/repos/Stirling-PDF/src/main/java/stirling/software/SPDF/controller/api/security/CertSignController.java,stirling.software.SPDF.controller.api.security.CertSignController$CreateSignature,"createVisibleSignature/4[stirling.software.SPDF.controller.api.security.PDDocument,stirling.software.SPDF.controller.api.security.PDSignature,java.lang.Integer,java.lang.Boolean]",signature,2
/home/jota/classroom/lab-02-qualidade-java/repos/Stirling-PDF/src/main/java/stirling/software/SPDF/controller/api/security/CertSignController.java,stirling.software.SPDF.controller.api.security.CertSignController$CreateSignature,"createVisibleSignature/4[stirling.software.SPDF.controller.api.security.PDDocument,stirling.software.SPDF.controller.api.security.PDSignature,java.lang.Integer,java.lang.Boolean]",leading,2
/home/jota/classroom/lab-02-qualidade-java/repos/Stirling-PDF/src/main/java/stirling/software/SPDF/controller/api/security/CertSignController.java,stirling.software.SPDF.controller.api.security.CertSignController$CreateSignature,"createVisibleSignature/4[stirling.software.SPDF.controller.api.security.PDDocument,stirling.software.SPDF.controller.api.security.PDSignature,java.lang.Integer,java.lang.Boolean]",bbox,2
/home/jota/classroom/lab-02-qualidade-java/repos/Stirling-PDF/src/main/java/stirling/software/SPDF/controller/api/security/CertSignController.java,stirling.software.SPDF.controller.api.security.CertSignController$CreateSignature,"createVisibleSignature/4[stirling.software.SPDF.controller.api.security.PDDocument,stirling.software.SPDF.controller.api.security.PDSignature,java.lang.Integer,java.lang.Boolean]",cert,1
/home/jota/classroom/lab-02-qualidade-java/repos/Stirling-PDF/src/main/java/stirling/software/SPDF/controller/api/security/CertSignController.java,stirling.software.SPDF.controller.api.security.CertSignController$CreateSignature,"createVisibleSignature/4[stirling.software.SPDF.controller.api.security.PDDocument,stirling.software.SPDF.controller.api.security.PDSignature,java.lang.Integer,java.lang.Boolean]",extState,3
/home/jota/classroom/lab-02-qualidade-java/repos/Stirling-PDF/src/main/java/stirling/software/SPDF/controller/api/security/CertSignController.java,stirling.software.SPDF.controller.api.security.CertSignController$CreateSignature,"createVisibleSignature/4[stirling.software.SPDF.controller.api.security.PDDocument,stirling.software.SPDF.controller.api.security.PDSignature,java.lang.Integer,java.lang.Boolean]",baos,2
/home/jota/classroom/lab-02-qualidade-java/repos/Stirling-PDF/src/main/java/stirling/software/SPDF/controller/api/security/CertSignController.java,stirling.software.SPDF.controller.api.security.CertSignController$CreateSignature,"createVisibleSignature/4[stirling.software.SPDF.controller.api.security.PDDocument,stirling.software.SPDF.controller.api.security.PDSignature,java.lang.Integer,java.lang.Boolean]",rect,3
/home/jota/classroom/lab-02-qualidade-java/repos/Stirling-PDF/src/main/java/stirling/software/SPDF/controller/api/security/CertSignController.java,stirling.software.SPDF.controller.api.security.CertSignController$CreateSignature,"createVisibleSignature/4[stirling.software.SPDF.controller.api.security.PDDocument,stirling.software.SPDF.controller.api.security.PDSignature,java.lang.Integer,java.lang.Boolean]",stream,1
/home/jota/classroom/lab-02-qualidade-java/repos/Stirling-PDF/src/main/java/stirling/software/SPDF/controller/api/security/CertSignController.java,stirling.software.SPDF.controller.api.security.CertSignController$CreateSignature,"createVisibleSignature/4[stirling.software.SPDF.controller.api.security.PDDocument,stirling.software.SPDF.controller.api.security.PDSignature,java.lang.Integer,java.lang.Boolean]",height,1
/home/jota/classroom/lab-02-qualidade-java/repos/Stirling-PDF/src/main/java/stirling/software/SPDF/controller/api/security/CertSignController.java,stirling.software.SPDF.controller.api.security.CertSignController$CreateSignature,"createVisibleSignature/4[stirling.software.SPDF.controller.api.security.PDDocument,stirling.software.SPDF.controller.api.security.PDSignature,java.lang.Integer,java.lang.Boolean]",res,1
/home/jota/classroom/lab-02-qualidade-java/repos/Stirling-PDF/src/main/java/stirling/software/SPDF/controller/api/security/CertSignController.java,stirling.software.SPDF.controller.api.security.CertSignController$CreateSignature,"createVisibleSignature/4[stirling.software.SPDF.controller.api.security.PDDocument,stirling.software.SPDF.controller.api.security.PDSignature,java.lang.Integer,java.lang.Boolean]",acroForm,6
