file,class,method,variable,usage
/home/jota/classroom/lab-02-qualidade-java/repos/WxJava/solon-plugins/wx-java-pay-solon-plugin/src/main/java/com/binarywang/solon/wxjava/pay/config/WxPayAutoConfiguration.java,com.binarywang.solon.wxjava.pay.config.WxPayAutoConfiguration,wxPayService/0,properties,13
/home/jota/classroom/lab-02-qualidade-java/repos/WxJava/solon-plugins/wx-java-pay-solon-plugin/src/main/java/com/binarywang/solon/wxjava/pay/config/WxPayAutoConfiguration.java,com.binarywang.solon.wxjava.pay.config.WxPayAutoConfiguration,WxPayAutoConfiguration/1[com.binarywang.solon.wxjava.pay.properties.WxPayProperties],properties,3
/home/jota/classroom/lab-02-qualidade-java/repos/WxJava/weixin-java-pay/src/main/java/com/github/binarywang/wxpay/bean/coupon/WxPayCouponStockQueryRequest.java,com.github.binarywang.wxpay.bean.coupon.WxPayCouponStockQueryRequest,"storeMap/1[java.util.Map<java.lang.String,java.lang.String>]",couponStockId,1
/home/jota/classroom/lab-02-qualidade-java/repos/WxJava/weixin-java-pay/src/main/java/com/github/binarywang/wxpay/bean/coupon/WxPayCouponStockQueryRequest.java,com.github.binarywang.wxpay.bean.coupon.WxPayCouponStockQueryRequest,"storeMap/1[java.util.Map<java.lang.String,java.lang.String>]",opUserId,1
/home/jota/classroom/lab-02-qualidade-java/repos/WxJava/weixin-java-pay/src/main/java/com/github/binarywang/wxpay/bean/coupon/WxPayCouponStockQueryRequest.java,com.github.binarywang.wxpay.bean.coupon.WxPayCouponStockQueryRequest,"storeMap/1[java.util.Map<java.lang.String,java.lang.String>]",type,1
/home/jota/classroom/lab-02-qualidade-java/repos/WxJava/weixin-java-pay/src/main/java/com/github/binarywang/wxpay/bean/coupon/WxPayCouponStockQueryRequest.java,com.github.binarywang.wxpay.bean.coupon.WxPayCouponStockQueryRequest,"storeMap/1[java.util.Map<java.lang.String,java.lang.String>]",version,1
/home/jota/classroom/lab-02-qualidade-java/repos/WxJava/weixin-java-pay/src/main/java/com/github/binarywang/wxpay/bean/coupon/WxPayCouponStockQueryRequest.java,com.github.binarywang.wxpay.bean.coupon.WxPayCouponStockQueryRequest,"storeMap/1[java.util.Map<java.lang.String,java.lang.String>]",deviceInfo,1
/home/jota/classroom/lab-02-qualidade-java/repos/WxJava/weixin-java-miniapp/src/test/java/cn/binarywang/wx/miniapp/api/impl/WxMaJsapiServiceImplTest.java,cn.binarywang.wx.miniapp.api.impl.WxMaJsapiServiceImplTest,testCreateJsapiSignature/0,wxService,1
/home/jota/classroom/lab-02-qualidade-java/repos/WxJava/weixin-java-miniapp/src/test/java/cn/binarywang/wx/miniapp/api/impl/WxMaJsapiServiceImplTest.java,cn.binarywang.wx.miniapp.api.impl.WxMaJsapiServiceImplTest,testGetJsapiTicket1/0,wxService,1
/home/jota/classroom/lab-02-qualidade-java/repos/WxJava/weixin-java-miniapp/src/test/java/cn/binarywang/wx/miniapp/api/impl/WxMaJsapiServiceImplTest.java,cn.binarywang.wx.miniapp.api.impl.WxMaJsapiServiceImplTest,testGetJsapiTicket/0,wxService,1
/home/jota/classroom/lab-02-qualidade-java/repos/WxJava/solon-plugins/wx-java-miniapp-solon-plugin/src/main/java/com/binarywang/solon/wxjava/miniapp/config/storage/WxMaInMemoryConfigStorageConfiguration.java,com.binarywang.solon.wxjava.miniapp.config.storage.WxMaInMemoryConfigStorageConfiguration,wxMaConfig/0,properties,1
/home/jota/classroom/lab-02-qualidade-java/repos/WxJava/weixin-java-channel/src/main/java/me/chanjar/weixin/channel/enums/SaleProfileUserType.java,me.chanjar.weixin.channel.enums.SaleProfileUserType,"SaleProfileUserType/2[java.lang.Integer,java.lang.String]",value,3
/home/jota/classroom/lab-02-qualidade-java/repos/WxJava/weixin-java-channel/src/main/java/me/chanjar/weixin/channel/enums/SaleProfileUserType.java,me.chanjar.weixin.channel.enums.SaleProfileUserType,"SaleProfileUserType/2[java.lang.Integer,java.lang.String]",key,3
