file,class,method,variable,usage
/home/jota/classroom/lab-02-qualidade-java/repos/interviews/uva/Friends.java,Friends,"join/2[int,int]",relationships,6
/home/jota/classroom/lab-02-qualidade-java/repos/interviews/uva/Friends.java,Friends,"join/2[int,int]",people,2
/home/jota/classroom/lab-02-qualidade-java/repos/interviews/uva/Friends.java,Friends,"startUnion/3[int,int[],int[]]",relationships,2
/home/jota/classroom/lab-02-qualidade-java/repos/interviews/uva/Friends.java,Friends,"startUnion/3[int,int[],int[]]",people,2
/home/jota/classroom/lab-02-qualidade-java/repos/interviews/uva/Friends.java,Friends,main/1[java.lang.String[]],relationships,3
/home/jota/classroom/lab-02-qualidade-java/repos/interviews/uva/Friends.java,Friends,main/1[java.lang.String[]],people,1
/home/jota/classroom/lab-02-qualidade-java/repos/interviews/uva/Friends.java,Friends,find/1[int],people,4
/home/jota/classroom/lab-02-qualidade-java/repos/interviews/leetcode/breadth-first-search/CloneGraph.java,CloneGraph,cloneGraph/1[UndirectedGraphNode],map,3
/home/jota/classroom/lab-02-qualidade-java/repos/interviews/leetcode/trie/ImplementTrie.java,TrieNode,TrieNode/1[char],character,3
/home/jota/classroom/lab-02-qualidade-java/repos/interviews/leetcode/trie/ImplementTrie.java,TrieNode,TrieNode/1[char],last,1
/home/jota/classroom/lab-02-qualidade-java/repos/interviews/leetcode/trie/ImplementTrie.java,TrieNode,TrieNode/1[char],map,1
/home/jota/classroom/lab-02-qualidade-java/repos/interviews/leetcode/string/IntegerToEnglishWords.java,IntegerToEnglishWords,helper/1[int],TENS,1
/home/jota/classroom/lab-02-qualidade-java/repos/interviews/leetcode/string/IntegerToEnglishWords.java,IntegerToEnglishWords,helper/1[int],LESS_THAN_20,2
/home/jota/classroom/lab-02-qualidade-java/repos/interviews/leetcode/string/IntegerToEnglishWords.java,IntegerToEnglishWords,numberToWords/1[int],THOUSANDS,1
/home/jota/classroom/lab-02-qualidade-java/repos/interviews/cracking-the-coding-interview/chapter-nine-recursion-and-dynamic-programming/EightQueens.java,EightQueens,"placeQueens/3[int,java.lang.Integer[],ArrayList<java.lang.Integer[]>]",GRID_SIZE,2
/home/jota/classroom/lab-02-qualidade-java/repos/interviews/cracking-the-coding-interview/chapter-seven-mathematics-and-probability/WouldIntersect.java,Line,Intersect/1[Line],epsilon,2
/home/jota/classroom/lab-02-qualidade-java/repos/interviews/cracking-the-coding-interview/chapter-seven-mathematics-and-probability/WouldIntersect.java,Line,Intersect/1[Line],yintercept,1
/home/jota/classroom/lab-02-qualidade-java/repos/interviews/cracking-the-coding-interview/chapter-seven-mathematics-and-probability/WouldIntersect.java,Line,Intersect/1[Line],slope,1
/home/jota/classroom/lab-02-qualidade-java/repos/interviews/cracking-the-coding-interview/chapter-seven-mathematics-and-probability/WouldIntersect.java,Line,"Line/2[double,double]",yintercept,1
/home/jota/classroom/lab-02-qualidade-java/repos/interviews/cracking-the-coding-interview/chapter-seven-mathematics-and-probability/WouldIntersect.java,Line,"Line/2[double,double]",slope,1
/home/jota/classroom/lab-02-qualidade-java/repos/interviews/cracking-the-coding-interview/chapter-three-stacks-and-queues/ThreeStacks.java,ThreeStacks,peek/1[int],buffer,1
/home/jota/classroom/lab-02-qualidade-java/repos/interviews/cracking-the-coding-interview/chapter-three-stacks-and-queues/ThreeStacks.java,ThreeStacks,absTopOfStack/1[int],stackSize,1
/home/jota/classroom/lab-02-qualidade-java/repos/interviews/cracking-the-coding-interview/chapter-three-stacks-and-queues/ThreeStacks.java,ThreeStacks,absTopOfStack/1[int],stackPointer,1
/home/jota/classroom/lab-02-qualidade-java/repos/interviews/cracking-the-coding-interview/chapter-three-stacks-and-queues/ThreeStacks.java,ThreeStacks,"push/2[int,int]",stackSize,1
/home/jota/classroom/lab-02-qualidade-java/repos/interviews/cracking-the-coding-interview/chapter-three-stacks-and-queues/ThreeStacks.java,ThreeStacks,"push/2[int,int]",stackPointer,2
