file,class,method,variable,usage
/home/jota/classroom/lab-02-qualidade-java/repos/lottie-android/lottie/src/main/java/com/airbnb/lottie/model/content/RectangleShape.java,com.airbnb.lottie.model.content.RectangleShape,"RectangleShape/5[java.lang.String,com.airbnb.lottie.model.animatable.AnimatableValue<com.airbnb.lottie.model.content.PointF,com.airbnb.lottie.model.content.PointF>,com.airbnb.lottie.model.animatable.AnimatableValue<com.airbnb.lottie.model.content.PointF,com.airbnb.lottie.model.content.PointF>,com.airbnb.lottie.model.animatable.AnimatableFloatValue,boolean]",size,3
/home/jota/classroom/lab-02-qualidade-java/repos/lottie-android/lottie/src/main/java/com/airbnb/lottie/model/content/RectangleShape.java,com.airbnb.lottie.model.content.RectangleShape,"RectangleShape/5[java.lang.String,com.airbnb.lottie.model.animatable.AnimatableValue<com.airbnb.lottie.model.content.PointF,com.airbnb.lottie.model.content.PointF>,com.airbnb.lottie.model.animatable.AnimatableValue<com.airbnb.lottie.model.content.PointF,com.airbnb.lottie.model.content.PointF>,com.airbnb.lottie.model.animatable.AnimatableFloatValue,boolean]",hidden,3
/home/jota/classroom/lab-02-qualidade-java/repos/lottie-android/lottie/src/main/java/com/airbnb/lottie/model/content/RectangleShape.java,com.airbnb.lottie.model.content.RectangleShape,"RectangleShape/5[java.lang.String,com.airbnb.lottie.model.animatable.AnimatableValue<com.airbnb.lottie.model.content.PointF,com.airbnb.lottie.model.content.PointF>,com.airbnb.lottie.model.animatable.AnimatableValue<com.airbnb.lottie.model.content.PointF,com.airbnb.lottie.model.content.PointF>,com.airbnb.lottie.model.animatable.AnimatableFloatValue,boolean]",name,3
/home/jota/classroom/lab-02-qualidade-java/repos/lottie-android/lottie/src/main/java/com/airbnb/lottie/model/content/RectangleShape.java,com.airbnb.lottie.model.content.RectangleShape,"RectangleShape/5[java.lang.String,com.airbnb.lottie.model.animatable.AnimatableValue<com.airbnb.lottie.model.content.PointF,com.airbnb.lottie.model.content.PointF>,com.airbnb.lottie.model.animatable.AnimatableValue<com.airbnb.lottie.model.content.PointF,com.airbnb.lottie.model.content.PointF>,com.airbnb.lottie.model.animatable.AnimatableFloatValue,boolean]",position,3
/home/jota/classroom/lab-02-qualidade-java/repos/lottie-android/lottie/src/main/java/com/airbnb/lottie/model/content/RectangleShape.java,com.airbnb.lottie.model.content.RectangleShape,"RectangleShape/5[java.lang.String,com.airbnb.lottie.model.animatable.AnimatableValue<com.airbnb.lottie.model.content.PointF,com.airbnb.lottie.model.content.PointF>,com.airbnb.lottie.model.animatable.AnimatableValue<com.airbnb.lottie.model.content.PointF,com.airbnb.lottie.model.content.PointF>,com.airbnb.lottie.model.animatable.AnimatableFloatValue,boolean]",cornerRadius,3
/home/jota/classroom/lab-02-qualidade-java/repos/lottie-android/lottie/src/main/java/com/airbnb/lottie/model/content/RectangleShape.java,com.airbnb.lottie.model.content.RectangleShape,getSize/0,size,1
/home/jota/classroom/lab-02-qualidade-java/repos/lottie-android/lottie/src/main/java/com/airbnb/lottie/model/content/RectangleShape.java,com.airbnb.lottie.model.content.RectangleShape,isHidden/0,hidden,1
/home/jota/classroom/lab-02-qualidade-java/repos/lottie-android/lottie/src/main/java/com/airbnb/lottie/model/content/RectangleShape.java,com.airbnb.lottie.model.content.RectangleShape,getName/0,name,1
/home/jota/classroom/lab-02-qualidade-java/repos/lottie-android/lottie/src/main/java/com/airbnb/lottie/model/content/RectangleShape.java,com.airbnb.lottie.model.content.RectangleShape,getCornerRadius/0,cornerRadius,1
/home/jota/classroom/lab-02-qualidade-java/repos/lottie-android/lottie/src/main/java/com/airbnb/lottie/model/content/RectangleShape.java,com.airbnb.lottie.model.content.RectangleShape,toString/0,size,1
/home/jota/classroom/lab-02-qualidade-java/repos/lottie-android/lottie/src/main/java/com/airbnb/lottie/model/content/RectangleShape.java,com.airbnb.lottie.model.content.RectangleShape,toString/0,position,1
/home/jota/classroom/lab-02-qualidade-java/repos/lottie-android/lottie/src/main/java/com/airbnb/lottie/model/content/RectangleShape.java,com.airbnb.lottie.model.content.RectangleShape,getPosition/0,position,1
/home/jota/classroom/lab-02-qualidade-java/repos/lottie-android/lottie/src/main/java/com/airbnb/lottie/parser/BlurEffectParser.java,com.airbnb.lottie.parser.BlurEffectParser,"maybeParseInnerEffect/2[com.airbnb.lottie.parser.moshi.JsonReader,com.airbnb.lottie.LottieComposition]",INNER_BLUR_EFFECT_NAMES,1
/home/jota/classroom/lab-02-qualidade-java/repos/lottie-android/lottie/src/main/java/com/airbnb/lottie/parser/BlurEffectParser.java,com.airbnb.lottie.parser.BlurEffectParser,"parse/2[com.airbnb.lottie.parser.moshi.JsonReader,com.airbnb.lottie.LottieComposition]",BLUR_EFFECT_NAMES,1
/home/jota/classroom/lab-02-qualidade-java/repos/lottie-android/lottie/src/main/java/com/airbnb/lottie/LottieAnimationView.java,com.airbnb.lottie.LottieAnimationView$WeakSuccessListener,WeakSuccessListener/1[com.airbnb.lottie.LottieAnimationView],targetReference,1
/home/jota/classroom/lab-02-qualidade-java/repos/lottie-android/lottie/src/main/java/com/airbnb/lottie/LottieAnimationView.java,com.airbnb.lottie.LottieAnimationView$WeakSuccessListener,onResult/1[com.airbnb.lottie.LottieComposition],targetReference,1
/home/jota/classroom/lab-02-qualidade-java/repos/lottie-android/lottie/src/main/java/com/airbnb/lottie/animation/content/FillContent.java,com.airbnb.lottie.animation.content.FillContent,"addValueCallback/2[T,com.airbnb.lottie.value.LottieValueCallback<T>]",colorAnimation,1
/home/jota/classroom/lab-02-qualidade-java/repos/lottie-android/lottie/src/main/java/com/airbnb/lottie/animation/content/FillContent.java,com.airbnb.lottie.animation.content.FillContent,"addValueCallback/2[T,com.airbnb.lottie.value.LottieValueCallback<T>]",blurAnimation,5
/home/jota/classroom/lab-02-qualidade-java/repos/lottie-android/lottie/src/main/java/com/airbnb/lottie/animation/content/FillContent.java,com.airbnb.lottie.animation.content.FillContent,"addValueCallback/2[T,com.airbnb.lottie.value.LottieValueCallback<T>]",opacityAnimation,1
/home/jota/classroom/lab-02-qualidade-java/repos/lottie-android/lottie/src/main/java/com/airbnb/lottie/animation/content/FillContent.java,com.airbnb.lottie.animation.content.FillContent,"addValueCallback/2[T,com.airbnb.lottie.value.LottieValueCallback<T>]",layer,3
/home/jota/classroom/lab-02-qualidade-java/repos/lottie-android/lottie/src/main/java/com/airbnb/lottie/animation/content/FillContent.java,com.airbnb.lottie.animation.content.FillContent,"addValueCallback/2[T,com.airbnb.lottie.value.LottieValueCallback<T>]",colorFilterAnimation,6
/home/jota/classroom/lab-02-qualidade-java/repos/lottie-android/lottie/src/main/java/com/airbnb/lottie/animation/content/FillContent.java,com.airbnb.lottie.animation.content.FillContent,onValueChanged/0,lottieDrawable,1
/home/jota/classroom/lab-02-qualidade-java/repos/lottie-android/lottie/src/main/java/com/airbnb/lottie/animation/content/FillContent.java,com.airbnb.lottie.animation.content.FillContent,"setContents/2[java.util.List<com.airbnb.lottie.animation.content.Content>,java.util.List<com.airbnb.lottie.animation.content.Content>]",paths,1
/home/jota/classroom/lab-02-qualidade-java/repos/lottie-android/lottie/src/main/java/com/airbnb/lottie/animation/content/FillContent.java,com.airbnb.lottie.animation.content.FillContent,getName/0,name,1
/home/jota/classroom/lab-02-qualidade-java/repos/lottie-android/lottie/src/main/java/com/airbnb/lottie/animation/content/FillContent.java,com.airbnb.lottie.animation.content.FillContent,"draw/4[com.airbnb.lottie.animation.content.Canvas,com.airbnb.lottie.animation.content.Matrix,int,com.airbnb.lottie.utils.DropShadow]",colorAnimation,1
