file,class,method,variable,usage
/home/jota/classroom/lab-02-qualidade-java/repos/proxyee-down/main/src/main/java/org/pdown/gui/extension/mitm/intercept/SniffIntercept.java,org.pdown.gui.extension.mitm.intercept.SniffIntercept,isDownContentType/1[java.lang.String],CONTENT_TYPES,1
/home/jota/classroom/lab-02-qualidade-java/repos/proxyee-down/main/src/main/java/org/pdown/gui/extension/mitm/intercept/SniffIntercept.java,org.pdown.gui.extension.mitm.intercept.SniffIntercept,"beforeRequest/3[org.pdown.gui.extension.mitm.intercept.Channel,org.pdown.gui.extension.mitm.intercept.HttpRequest,org.pdown.gui.extension.mitm.intercept.HttpProxyInterceptPipeline]",matchFlag,3
/home/jota/classroom/lab-02-qualidade-java/repos/proxyee-down/main/src/main/java/org/pdown/gui/extension/mitm/intercept/SniffIntercept.java,org.pdown.gui.extension.mitm.intercept.SniffIntercept,"beforeRequest/3[org.pdown.gui.extension.mitm.intercept.Channel,org.pdown.gui.extension.mitm.intercept.HttpRequest,org.pdown.gui.extension.mitm.intercept.HttpProxyInterceptPipeline]",content,1
/home/jota/classroom/lab-02-qualidade-java/repos/proxyee-down/main/src/main/java/org/pdown/gui/extension/mitm/intercept/SniffIntercept.java,org.pdown.gui.extension.mitm.intercept.SniffIntercept,"beforeRequest/3[org.pdown.gui.extension.mitm.intercept.Channel,org.pdown.gui.extension.mitm.intercept.HttpContent,org.pdown.gui.extension.mitm.intercept.HttpProxyInterceptPipeline]",matchFlag,1
/home/jota/classroom/lab-02-qualidade-java/repos/proxyee-down/main/src/main/java/org/pdown/gui/extension/mitm/intercept/SniffIntercept.java,org.pdown.gui.extension.mitm.intercept.SniffIntercept,"beforeRequest/3[org.pdown.gui.extension.mitm.intercept.Channel,org.pdown.gui.extension.mitm.intercept.HttpContent,org.pdown.gui.extension.mitm.intercept.HttpProxyInterceptPipeline]",content,6
/home/jota/classroom/lab-02-qualidade-java/repos/proxyee-down/main/src/main/java/org/pdown/gui/extension/mitm/intercept/SniffIntercept.java,org.pdown.gui.extension.mitm.intercept.SniffIntercept,"afterResponse/4[org.pdown.gui.extension.mitm.intercept.Channel,org.pdown.gui.extension.mitm.intercept.Channel,org.pdown.gui.extension.mitm.intercept.HttpResponse,org.pdown.gui.extension.mitm.intercept.HttpProxyInterceptPipeline]",matchFlag,1
/home/jota/classroom/lab-02-qualidade-java/repos/proxyee-down/main/src/main/java/org/pdown/gui/extension/mitm/intercept/SniffIntercept.java,org.pdown.gui.extension.mitm.intercept.SniffIntercept,"afterResponse/4[org.pdown.gui.extension.mitm.intercept.Channel,org.pdown.gui.extension.mitm.intercept.Channel,org.pdown.gui.extension.mitm.intercept.HttpResponse,org.pdown.gui.extension.mitm.intercept.HttpProxyInterceptPipeline]",downFlag,2
/home/jota/classroom/lab-02-qualidade-java/repos/proxyee-down/main/src/main/java/org/pdown/gui/extension/mitm/intercept/SniffIntercept.java,org.pdown.gui.extension.mitm.intercept.SniffIntercept,"afterResponse/4[org.pdown.gui.extension.mitm.intercept.Channel,org.pdown.gui.extension.mitm.intercept.Channel,org.pdown.gui.extension.mitm.intercept.HttpResponse,org.pdown.gui.extension.mitm.intercept.HttpProxyInterceptPipeline]",LOGGER,1
/home/jota/classroom/lab-02-qualidade-java/repos/proxyee-down/main/src/main/java/org/pdown/gui/extension/mitm/intercept/SniffIntercept.java,org.pdown.gui.extension.mitm.intercept.SniffIntercept,"afterResponse/4[org.pdown.gui.extension.mitm.intercept.Channel,org.pdown.gui.extension.mitm.intercept.Channel,org.pdown.gui.extension.mitm.intercept.HttpResponse,org.pdown.gui.extension.mitm.intercept.HttpProxyInterceptPipeline]",content,3
/home/jota/classroom/lab-02-qualidade-java/repos/proxyee-down/main/src/main/java/org/pdown/gui/extension/mitm/intercept/SniffIntercept.java,org.pdown.gui.extension.mitm.intercept.SniffIntercept,"afterResponse/4[org.pdown.gui.extension.mitm.intercept.Channel,org.pdown.gui.extension.mitm.intercept.Channel,org.pdown.gui.extension.mitm.intercept.HttpContent,org.pdown.gui.extension.mitm.intercept.HttpProxyInterceptPipeline]",matchFlag,1
