file,class,method,variable,usage
/home/jota/classroom/lab-02-qualidade-java/repos/ruoyi-vue-pro/yudao-module-system/yudao-module-system-biz/src/main/java/cn/iocoder/yudao/module/system/api/sms/SmsSendApiImpl.java,cn.iocoder.yudao.module.system.api.sms.SmsSendApiImpl,sendSingleSmsToAdmin/1[cn.iocoder.yudao.module.system.api.sms.dto.send.SmsSendSingleToUserReqDTO],smsSendService,1
/home/jota/classroom/lab-02-qualidade-java/repos/ruoyi-vue-pro/yudao-module-system/yudao-module-system-biz/src/main/java/cn/iocoder/yudao/module/system/api/sms/SmsSendApiImpl.java,cn.iocoder.yudao.module.system.api.sms.SmsSendApiImpl,sendSingleSmsToMember/1[cn.iocoder.yudao.module.system.api.sms.dto.send.SmsSendSingleToUserReqDTO],smsSendService,1
/home/jota/classroom/lab-02-qualidade-java/repos/ruoyi-vue-pro/yudao-module-mall/yudao-module-promotion-biz/src/main/java/cn/iocoder/yudao/module/promotion/api/point/PointActivityApiImpl.java,cn.iocoder.yudao.module.promotion.api.point.PointActivityApiImpl,"validateJoinPointActivity/3[java.lang.Long,java.lang.Long,java.lang.Integer]",pointActivityService,1
/home/jota/classroom/lab-02-qualidade-java/repos/ruoyi-vue-pro/yudao-module-mall/yudao-module-promotion-biz/src/main/java/cn/iocoder/yudao/module/promotion/api/point/PointActivityApiImpl.java,cn.iocoder.yudao.module.promotion.api.point.PointActivityApiImpl,"updatePointStockIncr/3[java.lang.Long,java.lang.Long,java.lang.Integer]",pointActivityService,1
/home/jota/classroom/lab-02-qualidade-java/repos/ruoyi-vue-pro/yudao-module-mall/yudao-module-promotion-biz/src/main/java/cn/iocoder/yudao/module/promotion/api/point/PointActivityApiImpl.java,cn.iocoder.yudao.module.promotion.api.point.PointActivityApiImpl,"updatePointStockDecr/3[java.lang.Long,java.lang.Long,java.lang.Integer]",pointActivityService,1
/home/jota/classroom/lab-02-qualidade-java/repos/ruoyi-vue-pro/yudao-module-infra/yudao-module-infra-biz/src/main/java/cn/iocoder/yudao/module/infra/service/file/FileServiceImpl.java,cn.iocoder.yudao.module.infra.service.file.FileServiceImpl,validateFileExists/1[java.lang.Long],fileMapper,1
/home/jota/classroom/lab-02-qualidade-java/repos/ruoyi-vue-pro/yudao-module-infra/yudao-module-infra-biz/src/main/java/cn/iocoder/yudao/module/infra/service/file/FileServiceImpl.java,cn.iocoder.yudao.module.infra.service.file.FileServiceImpl,deleteFile/1[java.lang.Long],fileConfigService,1
/home/jota/classroom/lab-02-qualidade-java/repos/ruoyi-vue-pro/yudao-module-infra/yudao-module-infra-biz/src/main/java/cn/iocoder/yudao/module/infra/service/file/FileServiceImpl.java,cn.iocoder.yudao.module.infra.service.file.FileServiceImpl,deleteFile/1[java.lang.Long],fileMapper,1
/home/jota/classroom/lab-02-qualidade-java/repos/ruoyi-vue-pro/yudao-module-infra/yudao-module-infra-biz/src/main/java/cn/iocoder/yudao/module/infra/service/file/FileServiceImpl.java,cn.iocoder.yudao.module.infra.service.file.FileServiceImpl,getFilePage/1[cn.iocoder.yudao.module.infra.controller.admin.file.vo.file.FilePageReqVO],fileMapper,1
/home/jota/classroom/lab-02-qualidade-java/repos/ruoyi-vue-pro/yudao-module-infra/yudao-module-infra-biz/src/main/java/cn/iocoder/yudao/module/infra/service/file/FileServiceImpl.java,cn.iocoder.yudao.module.infra.service.file.FileServiceImpl,getFilePresignedUrl/1[java.lang.String],fileConfigService,1
