file,class,method,variable,usage
/home/jota/classroom/lab-02-qualidade-java/repos/selenium/java/src/org/openqa/selenium/interactions/CompositeAction.java,org.openqa.selenium.interactions.CompositeAction,perform/0,actionsList,1
/home/jota/classroom/lab-02-qualidade-java/repos/selenium/java/src/org/openqa/selenium/interactions/CompositeAction.java,org.openqa.selenium.interactions.CompositeAction,addAction/1[org.openqa.selenium.interactions.Action],actionsList,1
/home/jota/classroom/lab-02-qualidade-java/repos/selenium/java/test/org/openqa/selenium/json/JsonTest.java,org.openqa.selenium.json.JsonTest$NoDefaultConstructor,getValue/0,value,1
/home/jota/classroom/lab-02-qualidade-java/repos/selenium/java/test/org/openqa/selenium/json/JsonTest.java,org.openqa.selenium.json.JsonTest$NoDefaultConstructor,NoDefaultConstructor/1[java.lang.String],value,3
/home/jota/classroom/lab-02-qualidade-java/repos/selenium/java/test/org/openqa/selenium/json/JsonTest.java,org.openqa.selenium.json.JsonTest$NoDefaultConstructor,setValue/1[java.lang.String],value,3
/home/jota/classroom/lab-02-qualidade-java/repos/selenium/java/src/org/openqa/selenium/grid/log/JsonFormatter.java,org.openqa.selenium.grid.log.JsonFormatter,format/1[java.util.logging.LogRecord],JSON,1
/home/jota/classroom/lab-02-qualidade-java/repos/selenium/java/src/org/openqa/selenium/grid/sessionqueue/GetNextMatchingRequest.java,org.openqa.selenium.grid.sessionqueue.GetNextMatchingRequest,execute/1[org.openqa.selenium.grid.sessionqueue.HttpRequest],MAP_OF_CAPABILITIES,1
/home/jota/classroom/lab-02-qualidade-java/repos/selenium/java/src/org/openqa/selenium/grid/sessionqueue/GetNextMatchingRequest.java,org.openqa.selenium.grid.sessionqueue.GetNextMatchingRequest,execute/1[org.openqa.selenium.grid.sessionqueue.HttpRequest],JSON,1
/home/jota/classroom/lab-02-qualidade-java/repos/selenium/java/src/org/openqa/selenium/grid/sessionqueue/GetNextMatchingRequest.java,org.openqa.selenium.grid.sessionqueue.GetNextMatchingRequest,execute/1[org.openqa.selenium.grid.sessionqueue.HttpRequest],tracer,1
/home/jota/classroom/lab-02-qualidade-java/repos/selenium/java/src/org/openqa/selenium/grid/sessionqueue/GetNextMatchingRequest.java,org.openqa.selenium.grid.sessionqueue.GetNextMatchingRequest,execute/1[org.openqa.selenium.grid.sessionqueue.HttpRequest],queue,1
/home/jota/classroom/lab-02-qualidade-java/repos/selenium/java/src/org/openqa/selenium/grid/sessionqueue/GetNextMatchingRequest.java,org.openqa.selenium.grid.sessionqueue.GetNextMatchingRequest,"GetNextMatchingRequest/2[org.openqa.selenium.grid.sessionqueue.Tracer,org.openqa.selenium.grid.sessionqueue.NewSessionQueue]",tracer,3
/home/jota/classroom/lab-02-qualidade-java/repos/selenium/java/src/org/openqa/selenium/grid/sessionqueue/GetNextMatchingRequest.java,org.openqa.selenium.grid.sessionqueue.GetNextMatchingRequest,"GetNextMatchingRequest/2[org.openqa.selenium.grid.sessionqueue.Tracer,org.openqa.selenium.grid.sessionqueue.NewSessionQueue]",queue,3
/home/jota/classroom/lab-02-qualidade-java/repos/selenium/java/src/org/openqa/selenium/devtools/idealized/target/model/TargetID.java,org.openqa.selenium.devtools.idealized.target.model.TargetID,toString/0,targetID,1
/home/jota/classroom/lab-02-qualidade-java/repos/selenium/java/src/org/openqa/selenium/devtools/idealized/target/model/TargetID.java,org.openqa.selenium.devtools.idealized.target.model.TargetID,TargetID/1[java.lang.String],targetID,3
/home/jota/classroom/lab-02-qualidade-java/repos/selenium/java/src/org/openqa/selenium/remote/http/HttpResponse.java,org.openqa.selenium.remote.http.HttpResponse,getTargetHost/0,HTTP_TARGET_HOST,1
/home/jota/classroom/lab-02-qualidade-java/repos/selenium/java/src/org/openqa/selenium/remote/http/HttpResponse.java,org.openqa.selenium.remote.http.HttpResponse,setTargetHost/1[java.lang.String],HTTP_TARGET_HOST,1
/home/jota/classroom/lab-02-qualidade-java/repos/selenium/java/src/org/openqa/selenium/remote/http/HttpResponse.java,org.openqa.selenium.remote.http.HttpResponse,setStatus/1[int],status,3
/home/jota/classroom/lab-02-qualidade-java/repos/selenium/java/src/org/openqa/selenium/remote/http/HttpResponse.java,org.openqa.selenium.remote.http.HttpResponse,getStatus/0,status,1
/home/jota/classroom/lab-02-qualidade-java/repos/selenium/java/src/org/openqa/selenium/ie/InternetExplorerDriverService.java,org.openqa.selenium.ie.InternetExplorerDriverService$Builder,withExtractPath/1[java.io.File],extractPath,4
/home/jota/classroom/lab-02-qualidade-java/repos/selenium/java/src/org/openqa/selenium/ie/InternetExplorerDriverService.java,org.openqa.selenium.ie.InternetExplorerDriverService$Builder,withSilent/1[java.lang.Boolean],silent,4
/home/jota/classroom/lab-02-qualidade-java/repos/selenium/java/src/org/openqa/selenium/ie/InternetExplorerDriverService.java,org.openqa.selenium.ie.InternetExplorerDriverService$Builder,loadSystemProperties/0,extractPath,2
/home/jota/classroom/lab-02-qualidade-java/repos/selenium/java/src/org/openqa/selenium/ie/InternetExplorerDriverService.java,org.openqa.selenium.ie.InternetExplorerDriverService$Builder,loadSystemProperties/0,silent,2
/home/jota/classroom/lab-02-qualidade-java/repos/selenium/java/src/org/openqa/selenium/ie/InternetExplorerDriverService.java,org.openqa.selenium.ie.InternetExplorerDriverService$Builder,loadSystemProperties/0,logLevel,2
/home/jota/classroom/lab-02-qualidade-java/repos/selenium/java/src/org/openqa/selenium/ie/InternetExplorerDriverService.java,org.openqa.selenium.ie.InternetExplorerDriverService$Builder,loadSystemProperties/0,host,2
/home/jota/classroom/lab-02-qualidade-java/repos/selenium/java/src/org/openqa/selenium/ie/InternetExplorerDriverService.java,org.openqa.selenium.ie.InternetExplorerDriverService$Builder,withHost/1[java.lang.String],host,4
