file,class,method,variable,usage
/home/jota/classroom/lab-02-qualidade-java/repos/spring-boot-demo/demo-oauth/oauth-resource-server/src/test/java/com/xkcoding/oauth/AuthorizationTest.java,com.xkcoding.oauth.AuthorizationTest,"oauth2RestTemplate/3[java.lang.String,java.lang.String,java.util.List<java.lang.String>]",password,1
/home/jota/classroom/lab-02-qualidade-java/repos/spring-boot-demo/demo-oauth/oauth-resource-server/src/test/java/com/xkcoding/oauth/AuthorizationTest.java,com.xkcoding.oauth.AuthorizationTest,"oauth2RestTemplate/3[java.lang.String,java.lang.String,java.util.List<java.lang.String>]",resource,8
/home/jota/classroom/lab-02-qualidade-java/repos/spring-boot-demo/demo-oauth/oauth-resource-server/src/test/java/com/xkcoding/oauth/AuthorizationTest.java,com.xkcoding.oauth.AuthorizationTest,"oauth2RestTemplate/3[java.lang.String,java.lang.String,java.util.List<java.lang.String>]",scope,1
/home/jota/classroom/lab-02-qualidade-java/repos/spring-boot-demo/demo-oauth/oauth-resource-server/src/test/java/com/xkcoding/oauth/AuthorizationTest.java,com.xkcoding.oauth.AuthorizationTest,"oauth2RestTemplate/3[java.lang.String,java.lang.String,java.util.List<java.lang.String>]",username,1
/home/jota/classroom/lab-02-qualidade-java/repos/spring-boot-demo/demo-task-quartz/src/main/java/com/xkcoding/task/quartz/job/TestJob.java,com.xkcoding.task.quartz.job.TestJob,execute/1[com.xkcoding.task.quartz.job.JobExecutionContext],context,0
/home/jota/classroom/lab-02-qualidade-java/repos/spring-boot-demo/demo-codegen/src/main/java/com/xkcoding/codegen/utils/CodeGenUtil.java,com.xkcoding.codegen.utils.CodeGenUtil,columnToJava/1[java.lang.String],columnName,1
/home/jota/classroom/lab-02-qualidade-java/repos/spring-boot-demo/demo-codegen/src/main/java/com/xkcoding/codegen/utils/CodeGenUtil.java,com.xkcoding.codegen.utils.CodeGenUtil,"tableToJava/2[java.lang.String,java.lang.String]",tablePrefix,2
/home/jota/classroom/lab-02-qualidade-java/repos/spring-boot-demo/demo-codegen/src/main/java/com/xkcoding/codegen/utils/CodeGenUtil.java,com.xkcoding.codegen.utils.CodeGenUtil,"tableToJava/2[java.lang.String,java.lang.String]",tableName,3
/home/jota/classroom/lab-02-qualidade-java/repos/spring-boot-demo/demo-codegen/src/main/java/com/xkcoding/codegen/utils/CodeGenUtil.java,com.xkcoding.codegen.utils.CodeGenUtil,"generatorCode/4[com.xkcoding.codegen.entity.GenConfig,com.xkcoding.codegen.utils.Entity,java.util.List<com.xkcoding.codegen.utils.Entity>,java.util.zip.ZipOutputStream]",zip,3
/home/jota/classroom/lab-02-qualidade-java/repos/spring-boot-demo/demo-codegen/src/main/java/com/xkcoding/codegen/utils/CodeGenUtil.java,com.xkcoding.codegen.utils.CodeGenUtil,"generatorCode/4[com.xkcoding.codegen.entity.GenConfig,com.xkcoding.codegen.utils.Entity,java.util.List<com.xkcoding.codegen.utils.Entity>,java.util.zip.ZipOutputStream]",template,2
/home/jota/classroom/lab-02-qualidade-java/repos/spring-boot-demo/demo-codegen/src/main/java/com/xkcoding/codegen/utils/CodeGenUtil.java,com.xkcoding.codegen.utils.CodeGenUtil,"generatorCode/4[com.xkcoding.codegen.entity.GenConfig,com.xkcoding.codegen.utils.Entity,java.util.List<com.xkcoding.codegen.utils.Entity>,java.util.zip.ZipOutputStream]",genConfig,13
/home/jota/classroom/lab-02-qualidade-java/repos/spring-boot-demo/demo-codegen/src/main/java/com/xkcoding/codegen/utils/CodeGenUtil.java,com.xkcoding.codegen.utils.CodeGenUtil,"generatorCode/4[com.xkcoding.codegen.entity.GenConfig,com.xkcoding.codegen.utils.Entity,java.util.List<com.xkcoding.codegen.utils.Entity>,java.util.zip.ZipOutputStream]",sw,3
/home/jota/classroom/lab-02-qualidade-java/repos/spring-boot-demo/demo-codegen/src/main/java/com/xkcoding/codegen/utils/CodeGenUtil.java,com.xkcoding.codegen.utils.CodeGenUtil,"generatorCode/4[com.xkcoding.codegen.entity.GenConfig,com.xkcoding.codegen.utils.Entity,java.util.List<com.xkcoding.codegen.utils.Entity>,java.util.zip.ZipOutputStream]",e,1
/home/jota/classroom/lab-02-qualidade-java/repos/spring-boot-demo/demo-codegen/src/main/java/com/xkcoding/codegen/utils/CodeGenUtil.java,com.xkcoding.codegen.utils.CodeGenUtil,"generatorCode/4[com.xkcoding.codegen.entity.GenConfig,com.xkcoding.codegen.utils.Entity,java.util.List<com.xkcoding.codegen.utils.Entity>,java.util.zip.ZipOutputStream]",columns,1
/home/jota/classroom/lab-02-qualidade-java/repos/spring-boot-demo/demo-codegen/src/main/java/com/xkcoding/codegen/utils/CodeGenUtil.java,com.xkcoding.codegen.utils.CodeGenUtil,"generatorCode/4[com.xkcoding.codegen.entity.GenConfig,com.xkcoding.codegen.utils.Entity,java.util.List<com.xkcoding.codegen.utils.Entity>,java.util.zip.ZipOutputStream]",templates,1
