file,class,method,variable,usage
/home/jota/classroom/lab-02-qualidade-java/repos/spring-boot-examples/2.x/spring-boot-jpa/spring-boot-multi-Jpa/src/main/java/com/neo/config/PrimaryConfig.java,com.neo.config.PrimaryConfig,transactionManagerPrimary/1[com.neo.config.EntityManagerFactoryBuilder],builder,1
/home/jota/classroom/lab-02-qualidade-java/repos/spring-boot-examples/2.x/spring-boot-jpa/spring-boot-multi-Jpa/src/main/java/com/neo/config/PrimaryConfig.java,com.neo.config.PrimaryConfig,entityManagerFactoryPrimary/1[com.neo.config.EntityManagerFactoryBuilder],builder,1
/home/jota/classroom/lab-02-qualidade-java/repos/spring-boot-examples/2.x/spring-boot-jpa/spring-boot-multi-Jpa/src/main/java/com/neo/config/PrimaryConfig.java,com.neo.config.PrimaryConfig,entityManager/1[com.neo.config.EntityManagerFactoryBuilder],builder,1
/home/jota/classroom/lab-02-qualidade-java/repos/spring-boot-examples/1.x/spring-boot-rabbitmq/src/main/java/com/neo/rabbit/many/NeoSender2.java,com.neo.rabbit.many.NeoSender2,send/1[int],context,2
/home/jota/classroom/lab-02-qualidade-java/repos/spring-boot-examples/1.x/spring-boot-rabbitmq/src/main/java/com/neo/rabbit/many/NeoSender2.java,com.neo.rabbit.many.NeoSender2,send/1[int],i,1
/home/jota/classroom/lab-02-qualidade-java/repos/spring-boot-examples/spring-boot-thymeleaf/spring-boot-thymeleaf/src/main/java/com/neo/web/ExampleController.java,com.neo.web.ExampleController,switchcase/1[com.neo.web.ModelMap],map,1
/home/jota/classroom/lab-02-qualidade-java/repos/spring-boot-examples/spring-boot-thymeleaf/spring-boot-thymeleaf/src/main/java/com/neo/web/ExampleController.java,com.neo.web.ExampleController,ifunless/1[com.neo.web.ModelMap],map,1
/home/jota/classroom/lab-02-qualidade-java/repos/spring-boot-examples/spring-boot-thymeleaf/spring-boot-thymeleaf/src/main/java/com/neo/web/ExampleController.java,com.neo.web.ExampleController,list/1[com.neo.web.ModelMap],map,1
/home/jota/classroom/lab-02-qualidade-java/repos/spring-boot-examples/spring-boot-thymeleaf/spring-boot-thymeleaf/src/main/java/com/neo/web/ExampleController.java,com.neo.web.ExampleController,string/1[com.neo.web.ModelMap],map,1
/home/jota/classroom/lab-02-qualidade-java/repos/spring-boot-examples/spring-boot-thymeleaf/spring-boot-thymeleaf/src/main/java/com/neo/web/ExampleController.java,com.neo.web.ExampleController,url/1[com.neo.web.ModelMap],map,3
/home/jota/classroom/lab-02-qualidade-java/repos/spring-boot-examples/spring-boot-thymeleaf/spring-boot-thymeleaf/src/main/java/com/neo/web/ExampleController.java,com.neo.web.ExampleController,eq/1[com.neo.web.ModelMap],map,3
/home/jota/classroom/lab-02-qualidade-java/repos/spring-boot-examples/spring-boot-thymeleaf/spring-boot-thymeleaf/src/main/java/com/neo/web/ExampleController.java,com.neo.web.ExampleController,getUserList/0,user1,1
/home/jota/classroom/lab-02-qualidade-java/repos/spring-boot-examples/spring-boot-thymeleaf/spring-boot-thymeleaf/src/main/java/com/neo/web/ExampleController.java,com.neo.web.ExampleController,getUserList/0,user2,1
/home/jota/classroom/lab-02-qualidade-java/repos/spring-boot-examples/spring-boot-thymeleaf/spring-boot-thymeleaf/src/main/java/com/neo/web/ExampleController.java,com.neo.web.ExampleController,getUserList/0,list,4
/home/jota/classroom/lab-02-qualidade-java/repos/spring-boot-examples/spring-boot-thymeleaf/spring-boot-thymeleaf/src/main/java/com/neo/web/ExampleController.java,com.neo.web.ExampleController,getUserList/0,user3,1
/home/jota/classroom/lab-02-qualidade-java/repos/spring-boot-examples/spring-boot-mail/src/main/java/com/neo/service/impl/MailServiceImpl.java,com.neo.service.impl.MailServiceImpl,"sendSimpleMail/3[java.lang.String,java.lang.String,java.lang.String]",e,1
/home/jota/classroom/lab-02-qualidade-java/repos/spring-boot-examples/spring-boot-mail/src/main/java/com/neo/service/impl/MailServiceImpl.java,com.neo.service.impl.MailServiceImpl,"sendSimpleMail/3[java.lang.String,java.lang.String,java.lang.String]",subject,1
/home/jota/classroom/lab-02-qualidade-java/repos/spring-boot-examples/spring-boot-mail/src/main/java/com/neo/service/impl/MailServiceImpl.java,com.neo.service.impl.MailServiceImpl,"sendSimpleMail/3[java.lang.String,java.lang.String,java.lang.String]",to,1
/home/jota/classroom/lab-02-qualidade-java/repos/spring-boot-examples/spring-boot-mail/src/main/java/com/neo/service/impl/MailServiceImpl.java,com.neo.service.impl.MailServiceImpl,"sendSimpleMail/3[java.lang.String,java.lang.String,java.lang.String]",message,5
/home/jota/classroom/lab-02-qualidade-java/repos/spring-boot-examples/spring-boot-mail/src/main/java/com/neo/service/impl/MailServiceImpl.java,com.neo.service.impl.MailServiceImpl,"sendSimpleMail/3[java.lang.String,java.lang.String,java.lang.String]",content,1
/home/jota/classroom/lab-02-qualidade-java/repos/spring-boot-examples/spring-boot-mail/src/main/java/com/neo/service/impl/MailServiceImpl.java,com.neo.service.impl.MailServiceImpl,"sendInlineResourceMail/5[java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String]",rscId,1
/home/jota/classroom/lab-02-qualidade-java/repos/spring-boot-examples/spring-boot-mail/src/main/java/com/neo/service/impl/MailServiceImpl.java,com.neo.service.impl.MailServiceImpl,"sendInlineResourceMail/5[java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String]",res,1
/home/jota/classroom/lab-02-qualidade-java/repos/spring-boot-examples/spring-boot-mail/src/main/java/com/neo/service/impl/MailServiceImpl.java,com.neo.service.impl.MailServiceImpl,"sendInlineResourceMail/5[java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String]",helper,5
/home/jota/classroom/lab-02-qualidade-java/repos/spring-boot-examples/spring-boot-mail/src/main/java/com/neo/service/impl/MailServiceImpl.java,com.neo.service.impl.MailServiceImpl,"sendInlineResourceMail/5[java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String]",e,1
/home/jota/classroom/lab-02-qualidade-java/repos/spring-boot-examples/spring-boot-mail/src/main/java/com/neo/service/impl/MailServiceImpl.java,com.neo.service.impl.MailServiceImpl,"sendInlineResourceMail/5[java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String]",subject,1
/home/jota/classroom/lab-02-qualidade-java/repos/spring-boot-examples/spring-boot-mail/src/main/java/com/neo/service/impl/MailServiceImpl.java,com.neo.service.impl.MailServiceImpl,"sendInlineResourceMail/5[java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String]",to,1
/home/jota/classroom/lab-02-qualidade-java/repos/spring-boot-examples/spring-boot-mail/src/main/java/com/neo/service/impl/MailServiceImpl.java,com.neo.service.impl.MailServiceImpl,"sendInlineResourceMail/5[java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String]",rscPath,1
/home/jota/classroom/lab-02-qualidade-java/repos/spring-boot-examples/spring-boot-mail/src/main/java/com/neo/service/impl/MailServiceImpl.java,com.neo.service.impl.MailServiceImpl,"sendInlineResourceMail/5[java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String]",message,2
/home/jota/classroom/lab-02-qualidade-java/repos/spring-boot-examples/spring-boot-mail/src/main/java/com/neo/service/impl/MailServiceImpl.java,com.neo.service.impl.MailServiceImpl,"sendInlineResourceMail/5[java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String]",content,1
/home/jota/classroom/lab-02-qualidade-java/repos/spring-boot-examples/spring-boot-mail/src/main/java/com/neo/service/impl/MailServiceImpl.java,com.neo.service.impl.MailServiceImpl,"sendHtmlMail/3[java.lang.String,java.lang.String,java.lang.String]",helper,4
/home/jota/classroom/lab-02-qualidade-java/repos/spring-boot-examples/spring-boot-mail/src/main/java/com/neo/service/impl/MailServiceImpl.java,com.neo.service.impl.MailServiceImpl,"sendHtmlMail/3[java.lang.String,java.lang.String,java.lang.String]",e,1
/home/jota/classroom/lab-02-qualidade-java/repos/spring-boot-examples/spring-boot-mail/src/main/java/com/neo/service/impl/MailServiceImpl.java,com.neo.service.impl.MailServiceImpl,"sendHtmlMail/3[java.lang.String,java.lang.String,java.lang.String]",subject,1
/home/jota/classroom/lab-02-qualidade-java/repos/spring-boot-examples/spring-boot-mail/src/main/java/com/neo/service/impl/MailServiceImpl.java,com.neo.service.impl.MailServiceImpl,"sendHtmlMail/3[java.lang.String,java.lang.String,java.lang.String]",to,1
/home/jota/classroom/lab-02-qualidade-java/repos/spring-boot-examples/spring-boot-mail/src/main/java/com/neo/service/impl/MailServiceImpl.java,com.neo.service.impl.MailServiceImpl,"sendHtmlMail/3[java.lang.String,java.lang.String,java.lang.String]",message,2
/home/jota/classroom/lab-02-qualidade-java/repos/spring-boot-examples/spring-boot-mail/src/main/java/com/neo/service/impl/MailServiceImpl.java,com.neo.service.impl.MailServiceImpl,"sendHtmlMail/3[java.lang.String,java.lang.String,java.lang.String]",content,1
/home/jota/classroom/lab-02-qualidade-java/repos/spring-boot-examples/spring-boot-mail/src/main/java/com/neo/service/impl/MailServiceImpl.java,com.neo.service.impl.MailServiceImpl,"sendAttachmentsMail/4[java.lang.String,java.lang.String,java.lang.String,java.lang.String]",fileName,1
/home/jota/classroom/lab-02-qualidade-java/repos/spring-boot-examples/spring-boot-mail/src/main/java/com/neo/service/impl/MailServiceImpl.java,com.neo.service.impl.MailServiceImpl,"sendAttachmentsMail/4[java.lang.String,java.lang.String,java.lang.String,java.lang.String]",file,1
/home/jota/classroom/lab-02-qualidade-java/repos/spring-boot-examples/spring-boot-mail/src/main/java/com/neo/service/impl/MailServiceImpl.java,com.neo.service.impl.MailServiceImpl,"sendAttachmentsMail/4[java.lang.String,java.lang.String,java.lang.String,java.lang.String]",helper,5
/home/jota/classroom/lab-02-qualidade-java/repos/spring-boot-examples/spring-boot-mail/src/main/java/com/neo/service/impl/MailServiceImpl.java,com.neo.service.impl.MailServiceImpl,"sendAttachmentsMail/4[java.lang.String,java.lang.String,java.lang.String,java.lang.String]",e,1
/home/jota/classroom/lab-02-qualidade-java/repos/spring-boot-examples/spring-boot-mail/src/main/java/com/neo/service/impl/MailServiceImpl.java,com.neo.service.impl.MailServiceImpl,"sendAttachmentsMail/4[java.lang.String,java.lang.String,java.lang.String,java.lang.String]",subject,1
/home/jota/classroom/lab-02-qualidade-java/repos/spring-boot-examples/spring-boot-mail/src/main/java/com/neo/service/impl/MailServiceImpl.java,com.neo.service.impl.MailServiceImpl,"sendAttachmentsMail/4[java.lang.String,java.lang.String,java.lang.String,java.lang.String]",filePath,3
/home/jota/classroom/lab-02-qualidade-java/repos/spring-boot-examples/spring-boot-mail/src/main/java/com/neo/service/impl/MailServiceImpl.java,com.neo.service.impl.MailServiceImpl,"sendAttachmentsMail/4[java.lang.String,java.lang.String,java.lang.String,java.lang.String]",to,1
/home/jota/classroom/lab-02-qualidade-java/repos/spring-boot-examples/spring-boot-mail/src/main/java/com/neo/service/impl/MailServiceImpl.java,com.neo.service.impl.MailServiceImpl,"sendAttachmentsMail/4[java.lang.String,java.lang.String,java.lang.String,java.lang.String]",message,2
/home/jota/classroom/lab-02-qualidade-java/repos/spring-boot-examples/spring-boot-mail/src/main/java/com/neo/service/impl/MailServiceImpl.java,com.neo.service.impl.MailServiceImpl,"sendAttachmentsMail/4[java.lang.String,java.lang.String,java.lang.String,java.lang.String]",content,1
/home/jota/classroom/lab-02-qualidade-java/repos/spring-boot-examples/spring-boot-mail/src/main/java/com/neo/service/MailService.java,com.neo.service.MailService,"sendSimpleMail/3[java.lang.String,java.lang.String,java.lang.String]",subject,0
/home/jota/classroom/lab-02-qualidade-java/repos/spring-boot-examples/spring-boot-mail/src/main/java/com/neo/service/MailService.java,com.neo.service.MailService,"sendSimpleMail/3[java.lang.String,java.lang.String,java.lang.String]",to,0
/home/jota/classroom/lab-02-qualidade-java/repos/spring-boot-examples/spring-boot-mail/src/main/java/com/neo/service/MailService.java,com.neo.service.MailService,"sendSimpleMail/3[java.lang.String,java.lang.String,java.lang.String]",content,0
