file,class,method,variable,usage
/home/jota/classroom/lab-02-qualidade-java/repos/spring-cloud-alibaba/spring-cloud-alibaba-starters/spring-cloud-alibaba-sentinel-datasource/src/main/java/com/alibaba/cloud/sentinel/datasource/factorybean/RedisDataSourceFactoryBean.java,com.alibaba.cloud.sentinel.datasource.factorybean.RedisDataSourceFactoryBean,setRuleKey/1[java.lang.String],ruleKey,2
/home/jota/classroom/lab-02-qualidade-java/repos/spring-cloud-alibaba/spring-cloud-alibaba-starters/spring-cloud-alibaba-sentinel-datasource/src/main/java/com/alibaba/cloud/sentinel/datasource/factorybean/RedisDataSourceFactoryBean.java,com.alibaba.cloud.sentinel.datasource.factorybean.RedisDataSourceFactoryBean,setConverter/1[com.alibaba.cloud.sentinel.datasource.factorybean.Converter],converter,2
/home/jota/classroom/lab-02-qualidade-java/repos/spring-cloud-alibaba/spring-cloud-alibaba-starters/spring-cloud-alibaba-sentinel-datasource/src/main/java/com/alibaba/cloud/sentinel/datasource/factorybean/RedisDataSourceFactoryBean.java,com.alibaba.cloud.sentinel.datasource.factorybean.RedisDataSourceFactoryBean,setChannel/1[java.lang.String],channel,2
/home/jota/classroom/lab-02-qualidade-java/repos/spring-cloud-alibaba/spring-cloud-alibaba-starters/spring-cloud-alibaba-sentinel-datasource/src/main/java/com/alibaba/cloud/sentinel/datasource/factorybean/RedisDataSourceFactoryBean.java,com.alibaba.cloud.sentinel.datasource.factorybean.RedisDataSourceFactoryBean,setPassword/1[java.lang.String],password,2
/home/jota/classroom/lab-02-qualidade-java/repos/spring-cloud-alibaba/spring-cloud-alibaba-starters/spring-cloud-alibaba-sentinel-datasource/src/main/java/com/alibaba/cloud/sentinel/datasource/factorybean/RedisDataSourceFactoryBean.java,com.alibaba.cloud.sentinel.datasource.factorybean.RedisDataSourceFactoryBean,getObject/0,node,2
/home/jota/classroom/lab-02-qualidade-java/repos/spring-cloud-alibaba/spring-cloud-alibaba-starters/spring-cloud-alibaba-sentinel-datasource/src/main/java/com/alibaba/cloud/sentinel/datasource/factorybean/RedisDataSourceFactoryBean.java,com.alibaba.cloud.sentinel.datasource.factorybean.RedisDataSourceFactoryBean,getObject/0,ex,1
/home/jota/classroom/lab-02-qualidade-java/repos/spring-cloud-alibaba/spring-cloud-alibaba-starters/spring-cloud-alibaba-sentinel-datasource/src/main/java/com/alibaba/cloud/sentinel/datasource/factorybean/RedisDataSourceFactoryBean.java,com.alibaba.cloud.sentinel.datasource.factorybean.RedisDataSourceFactoryBean,getObject/0,builder,7
/home/jota/classroom/lab-02-qualidade-java/repos/spring-cloud-alibaba/spring-cloud-alibaba-starters/spring-cloud-alibaba-sentinel-datasource/src/main/java/com/alibaba/cloud/sentinel/datasource/factorybean/RedisDataSourceFactoryBean.java,com.alibaba.cloud.sentinel.datasource.factorybean.RedisDataSourceFactoryBean,getObject/0,parts,3
/home/jota/classroom/lab-02-qualidade-java/repos/spring-cloud-alibaba/spring-cloud-alibaba-starters/spring-cloud-alibaba-sentinel-datasource/src/main/java/com/alibaba/cloud/sentinel/datasource/factorybean/RedisDataSourceFactoryBean.java,com.alibaba.cloud.sentinel.datasource.factorybean.RedisDataSourceFactoryBean,setMasterId/1[java.lang.String],masterId,2
/home/jota/classroom/lab-02-qualidade-java/repos/spring-cloud-alibaba/spring-cloud-alibaba-starters/spring-cloud-alibaba-sentinel-datasource/src/main/java/com/alibaba/cloud/sentinel/datasource/factorybean/RedisDataSourceFactoryBean.java,com.alibaba.cloud.sentinel.datasource.factorybean.RedisDataSourceFactoryBean,setDatabase/1[int],database,2
/home/jota/classroom/lab-02-qualidade-java/repos/spring-cloud-alibaba/spring-cloud-alibaba-starters/spring-cloud-alibaba-sentinel-datasource/src/main/java/com/alibaba/cloud/sentinel/datasource/factorybean/RedisDataSourceFactoryBean.java,com.alibaba.cloud.sentinel.datasource.factorybean.RedisDataSourceFactoryBean,setTimeout/1[java.time.Duration],timeout,2
/home/jota/classroom/lab-02-qualidade-java/repos/spring-cloud-alibaba/spring-cloud-alibaba-starters/spring-cloud-alibaba-sentinel-datasource/src/main/java/com/alibaba/cloud/sentinel/datasource/factorybean/RedisDataSourceFactoryBean.java,com.alibaba.cloud.sentinel.datasource.factorybean.RedisDataSourceFactoryBean,setNodes/1[java.util.List<java.lang.String>],nodes,2
/home/jota/classroom/lab-02-qualidade-java/repos/spring-cloud-alibaba/spring-cloud-alibaba-starters/spring-cloud-alibaba-sentinel-datasource/src/main/java/com/alibaba/cloud/sentinel/datasource/factorybean/RedisDataSourceFactoryBean.java,com.alibaba.cloud.sentinel.datasource.factorybean.RedisDataSourceFactoryBean,setHost/1[java.lang.String],host,2
