file,class,method,variable,usage
/home/jota/classroom/lab-02-qualidade-java/repos/vhr/vhr/vhrserver/vhr-model/src/main/java/org/javaboy/vhr/model/MsgContent.java,org.javaboy.vhr.model.MsgContent,setTitle/1[java.lang.String],title,4
/home/jota/classroom/lab-02-qualidade-java/repos/vhr/vhr/vhrserver/vhr-model/src/main/java/org/javaboy/vhr/model/MsgContent.java,org.javaboy.vhr.model.MsgContent,getCreatedate/0,createdate,1
/home/jota/classroom/lab-02-qualidade-java/repos/vhr/vhr/vhrserver/vhr-model/src/main/java/org/javaboy/vhr/model/MsgContent.java,org.javaboy.vhr.model.MsgContent,getMessage/0,message,1
/home/jota/classroom/lab-02-qualidade-java/repos/vhr/vhr/vhrserver/vhr-model/src/main/java/org/javaboy/vhr/model/MsgContent.java,org.javaboy.vhr.model.MsgContent,setMessage/1[java.lang.String],message,4
/home/jota/classroom/lab-02-qualidade-java/repos/vhr/vhr/vhrserver/vhr-model/src/main/java/org/javaboy/vhr/model/MsgContent.java,org.javaboy.vhr.model.MsgContent,getTitle/0,title,1
/home/jota/classroom/lab-02-qualidade-java/repos/vhr/vhr/vhrserver/vhr-model/src/main/java/org/javaboy/vhr/model/MsgContent.java,org.javaboy.vhr.model.MsgContent,setId/1[java.lang.Integer],id,3
/home/jota/classroom/lab-02-qualidade-java/repos/vhr/vhr/vhrserver/vhr-model/src/main/java/org/javaboy/vhr/model/MsgContent.java,org.javaboy.vhr.model.MsgContent,getId/0,id,1
/home/jota/classroom/lab-02-qualidade-java/repos/vhr/vhr/vhrserver/vhr-model/src/main/java/org/javaboy/vhr/model/MsgContent.java,org.javaboy.vhr.model.MsgContent,setCreatedate/1[java.util.Date],createdate,3
/home/jota/classroom/lab-02-qualidade-java/repos/vhr/vhr/vhrserver/vhr-service/src/main/java/org/javaboy/vhr/service/SalaryService.java,org.javaboy.vhr.service.SalaryService,addSalary/1[org.javaboy.vhr.model.Salary],salaryMapper,1
/home/jota/classroom/lab-02-qualidade-java/repos/vhr/vhr/vhrserver/vhr-service/src/main/java/org/javaboy/vhr/service/SalaryService.java,org.javaboy.vhr.service.SalaryService,getAllSalaries/0,salaryMapper,1
