file,class,method,variable,usage
/home/jota/classroom/lab-02-qualidade-java/repos/vhr/vhr/vhrserver/vhr-model/src/main/java/org/javaboy/vhr/model/MsgContent.java,org.javaboy.vhr.model.MsgContent,setTitle/1[java.lang.String],title,3
/home/jota/classroom/lab-02-qualidade-java/repos/vhr/vhr/vhrserver/vhr-model/src/main/java/org/javaboy/vhr/model/MsgContent.java,org.javaboy.vhr.model.MsgContent,setMessage/1[java.lang.String],message,3
/home/jota/classroom/lab-02-qualidade-java/repos/vhr/vhr/vhrserver/vhr-model/src/main/java/org/javaboy/vhr/model/MsgContent.java,org.javaboy.vhr.model.MsgContent,setId/1[java.lang.Integer],id,2
/home/jota/classroom/lab-02-qualidade-java/repos/vhr/vhr/vhrserver/vhr-model/src/main/java/org/javaboy/vhr/model/MsgContent.java,org.javaboy.vhr.model.MsgContent,setCreatedate/1[java.util.Date],createdate,2
/home/jota/classroom/lab-02-qualidade-java/repos/vhr/vhr/vhrserver/vhr-mapper/src/main/java/org/javaboy/vhr/mapper/SysMsgMapper.java,org.javaboy.vhr.mapper.SysMsgMapper,selectByPrimaryKey/1[java.lang.Integer],id,0
/home/jota/classroom/lab-02-qualidade-java/repos/vhr/vhr/vhrserver/vhr-mapper/src/main/java/org/javaboy/vhr/mapper/SysMsgMapper.java,org.javaboy.vhr.mapper.SysMsgMapper,insert/1[org.javaboy.vhr.model.SysMsg],record,0
/home/jota/classroom/lab-02-qualidade-java/repos/vhr/vhr/vhrserver/vhr-mapper/src/main/java/org/javaboy/vhr/mapper/SysMsgMapper.java,org.javaboy.vhr.mapper.SysMsgMapper,updateByPrimaryKey/1[org.javaboy.vhr.model.SysMsg],record,0
/home/jota/classroom/lab-02-qualidade-java/repos/vhr/vhr/vhrserver/vhr-mapper/src/main/java/org/javaboy/vhr/mapper/SysMsgMapper.java,org.javaboy.vhr.mapper.SysMsgMapper,deleteByPrimaryKey/1[java.lang.Integer],id,0
/home/jota/classroom/lab-02-qualidade-java/repos/vhr/vhr/vhrserver/vhr-mapper/src/main/java/org/javaboy/vhr/mapper/SysMsgMapper.java,org.javaboy.vhr.mapper.SysMsgMapper,updateByPrimaryKeySelective/1[org.javaboy.vhr.model.SysMsg],record,0
/home/jota/classroom/lab-02-qualidade-java/repos/vhr/vhr/vhrserver/vhr-mapper/src/main/java/org/javaboy/vhr/mapper/SysMsgMapper.java,org.javaboy.vhr.mapper.SysMsgMapper,insertSelective/1[org.javaboy.vhr.model.SysMsg],record,0
