Posição,Nome,Dono,Estrelas,Releases,Criado em,Tamanho (KB),URL
1,JavaGuide,Snailclimb,148921,0,2018-05-07T13:27:00Z,176698,https://github.com/Snailclimb/JavaGuide
2,hello-algo,krahets,111081,9,2022-11-04T11:08:34Z,360140,https://github.com/krahets/hello-algo
3,java-design-patterns,iluwatar,91101,0,2014-08-09T16:45:18Z,36557,https://github.com/iluwatar/java-design-patterns
4,mall,macrozheng,79694,3,2018-04-04T01:11:44Z,58688,https://github.com/macrozheng/mall
5,advanced-java,doocs,77330,1,2018-10-06T11:38:30Z,33737,https://github.com/doocs/advanced-java
6,spring-boot,spring-projects,76608,303,2012-10-19T15:02:57Z,187280,https://github.com/spring-projects/spring-boot
7,LeetCodeAnimation,MisterBooo,75783,0,2018-12-06T08:01:22Z,509807,https://github.com/MisterBooo/LeetCodeAnimation
8,elasticsearch,elastic,72143,177,2010-02-08T13:20:56Z,1387396,https://github.com/elastic/elasticsearch
9,interviews,kdn251,64044,0,2017-02-14T18:19:25Z,24091,https://github.com/kdn251/interviews
10,Java,TheAlgorithms,61179,0,2016-07-16T10:21:02Z,5589,https://github.com/TheAlgorithms/Java
11,spring-framework,spring-projects,57665,328,2010-12-08T04:04:45Z,222990,https://github.com/spring-projects/spring-framework
12,ghidra,NationalSecurityAgency,55814,42,2019-03-01T03:27:48Z,382340,https://github.com/NationalSecurityAgency/ghidra
13,Stirling-PDF,Stirling-Tools,55012,120,2023-01-27T18:22:42Z,83279,https://github.com/Stirling-Tools/Stirling-PDF
14,guava,google,50623,54,2014-05-29T16:23:17Z,556044,https://github.com/google/guava
15,RxJava,ReactiveX,48051,235,2013-01-08T20:11:48Z,143572,https://github.com/ReactiveX/RxJava
16,jadx,skylot,43338,30,2013-03-18T17:08:21Z,23347,https://github.com/skylot/jadx
17,dbeaver,dbeaver,42485,220,2015-10-21T08:26:28Z,193096,https://github.com/dbeaver/dbeaver
18,JeecgBoot,jeecgboot,42060,54,2018-11-26T10:40:00Z,71929,https://github.com/jeecgboot/JeecgBoot
19,dubbo,apache,40861,109,2012-06-19T07:56:02Z,59601,https://github.com/apache/dubbo
20,termux-app,termux,40086,91,2015-10-23T09:42:46Z,4408,https://github.com/termux/termux-app
21,MPAndroidChart,PhilJay,37878,44,2014-04-25T14:29:47Z,21720,https://github.com/PhilJay/MPAndroidChart
22,tutorials,eugenp,37107,0,2013-04-29T18:26:36Z,111227,https://github.com/eugenp/tutorials
