Nome,Dono,Estrelas,Releases,Criado em,URL
JavaGuide,Snailclimb,148824,0,2018-05-07T13:27:00Z,https://github.com/Snailclimb/JavaGuide
hello-algo,krahets,110726,9,2022-11-04T11:08:34Z,https://github.com/krahets/hello-algo
java-design-patterns,iluwatar,91024,0,2014-08-09T16:45:18Z,https://github.com/iluwatar/java-design-patterns
mall,macrozheng,79597,3,2018-04-04T01:11:44Z,https://github.com/macrozheng/mall
advanced-java,doocs,77277,1,2018-10-06T11:38:30Z,https://github.com/doocs/advanced-java
spring-boot,spring-projects,76507,303,2012-10-19T15:02:57Z,https://github.com/spring-projects/spring-boot
LeetCodeAnimation,MisterBooo,75776,0,2018-12-06T08:01:22Z,https://github.com/MisterBooo/LeetCodeAnimation
elasticsearch,elastic,72063,174,2010-02-08T13:20:56Z,https://github.com/elastic/elasticsearch
interviews,kdn251,64024,0,2017-02-14T18:19:25Z,https://github.com/kdn251/interviews
Java,TheAlgorithms,61130,0,2016-07-16T10:21:02Z,https://github.com/TheAlgorithms/Java
spring-framework,spring-projects,57600,328,2010-12-08T04:04:45Z,https://github.com/spring-projects/spring-framework
ghidra,NationalSecurityAgency,55534,42,2019-03-01T03:27:48Z,https://github.com/NationalSecurityAgency/ghidra
Stirling-PDF,Stirling-Tools,54524,119,2023-01-27T18:22:42Z,https://github.com/Stirling-Tools/Stirling-PDF
guava,google,50598,53,2014-05-29T16:23:17Z,https://github.com/google/guava
RxJava,ReactiveX,48051,235,2013-01-08T20:11:48Z,https://github.com/ReactiveX/RxJava
jadx,skylot,43248,30,2013-03-18T17:08:21Z,https://github.com/skylot/jadx
dbeaver,dbeaver,42352,219,2015-10-21T08:26:28Z,https://github.com/dbeaver/dbeaver
JeecgBoot,jeecgboot,41957,54,2018-11-26T10:40:00Z,https://github.com/jeecgboot/JeecgBoot
dubbo,apache,40832,109,2012-06-19T07:56:02Z,https://github.com/apache/dubbo
termux-app,termux,39909,91,2015-10-23T09:42:46Z,https://github.com/termux/termux-app
MPAndroidChart,PhilJay,37873,44,2014-04-25T14:29:47Z,https://github.com/PhilJay/MPAndroidChart
tutorials,eugenp,37104,0,2013-04-29T18:26:36Z,https://github.com/eugenp/tutorials
arthas,alibaba,36076,59,2018-08-29T17:15:57Z,https://github.com/alibaba/arthas
hello-algorithm,geekxh,35526,0,2020-05-29T05:47:09Z,https://github.com/geekxh/hello-algorithm
lottie-android,airbnb,35247,57,2016-10-06T22:42:42Z,https://github.com/airbnb/lottie-android
halo,halo-dev,35021,210,2018-03-21T12:56:52Z,https://github.com/halo-dev/halo
glide,bumptech,34821,47,2013-07-08T22:52:33Z,https://github.com/bumptech/glide
netty,netty,33899,0,2010-11-09T09:22:21Z,https://github.com/netty/netty
spring-boot-demo,xkcoding,33511,0,2017-11-10T06:27:29Z,https://github.com/xkcoding/spring-boot-demo
AndroidUtilCode,Blankj,33498,117,2016-07-30T18:18:32Z,https://github.com/Blankj/AndroidUtilCode
leetcode,doocs,33360,21,2018-09-16T14:03:03Z,https://github.com/doocs/leetcode
NewPipe,TeamNewPipe,33275,135,2015-09-03T23:39:26Z,https://github.com/TeamNewPipe/NewPipe
easyexcel,alibaba,33233,14,2018-02-06T03:14:08Z,https://github.com/alibaba/easyexcel
zxing,zxing,33164,31,2011-10-12T14:07:27Z,https://github.com/zxing/zxing
selenium,SeleniumHQ,31904,102,2013-01-14T21:40:56Z,https://github.com/SeleniumHQ/selenium
nacos,alibaba,31012,78,2018-06-15T06:49:27Z,https://github.com/alibaba/nacos
WxJava,binarywang,30767,30,2016-01-06T08:24:05Z,https://github.com/binarywang/WxJava
spring-boot-examples,ityouknow,30406,0,2016-11-05T05:32:33Z,https://github.com/ityouknow/spring-boot-examples
ruoyi-vue-pro,YunaiV,29807,34,2021-01-24T03:18:25Z,https://github.com/YunaiV/ruoyi-vue-pro
kafka,apache,29698,0,2011-08-15T18:06:16Z,https://github.com/apache/kafka
